__sample_id__,__target__,carat,cut,color,clarity,depth,table,x,y,z
diamonds_000102,2760.0,0.74,Ideal,G,SI1,61.6,55.0,5.8,5.85,3.59
diamonds_000103,2760.0,0.75,Premium,G,VS2,61.7,58.0,5.85,5.79,3.59
diamonds_000104,2760.0,0.8,Ideal,I,VS1,62.9,56.0,5.94,5.87,3.72
diamonds_000105,2760.0,0.75,Ideal,G,SI1,62.2,55.0,5.87,5.8,3.63
diamonds_000106,2760.0,0.8,Premium,G,SI1,63.0,59.0,5.9,5.81,3.69
diamonds_000107,2761.0,0.74,Ideal,I,VVS2,62.3,55.0,5.77,5.81,3.61
diamonds_000108,2761.0,0.81,Ideal,F,SI2,58.8,57.0,6.14,6.11,3.6
diamonds_000109,2761.0,0.59,Ideal,E,VVS2,62.0,55.0,5.38,5.43,3.35
diamonds_000110,2761.0,0.8,Ideal,F,SI2,61.4,57.0,5.96,6.0,3.67
diamonds_000111,2761.0,0.74,Ideal,E,SI2,62.2,56.0,5.8,5.84,3.62
diamonds_000112,2761.0,0.9,Premium,I,VS2,63.0,58.0,6.16,6.12,3.87
diamonds_000113,2762.0,0.74,Very Good,G,SI1,62.2,59.0,5.73,5.82,3.59
diamonds_000114,2762.0,0.73,Ideal,F,VS2,62.6,56.0,5.77,5.74,3.6
diamonds_000115,2762.0,0.73,Ideal,F,VS2,62.7,53.0,5.8,5.75,3.62
diamonds_000116,2762.0,0.8,Premium,F,SI2,61.7,58.0,5.98,5.94,3.68
diamonds_000117,2762.0,0.71,Ideal,G,VS2,62.4,54.0,5.72,5.76,3.58
diamonds_000118,2762.0,0.7,Ideal,E,VS2,60.7,58.0,5.73,5.76,3.49
diamonds_000119,2762.0,0.8,Ideal,F,SI2,59.9,59.0,6.01,6.07,3.62
diamonds_000120,2762.0,0.71,Ideal,D,SI2,62.3,56.0,5.73,5.69,3.56
diamonds_000121,2762.0,0.74,Ideal,E,SI1,62.3,54.0,5.8,5.83,3.62
diamonds_000122,2762.0,0.7,Very Good,F,VS2,61.7,63.0,5.64,5.61,3.47
diamonds_000123,2762.0,0.7,Fair,F,VS2,64.5,57.0,5.57,5.53,3.58
diamonds_000124,2762.0,0.7,Fair,F,VS2,65.3,55.0,5.63,5.58,3.66
diamonds_000125,2762.0,0.7,Premium,F,VS2,61.6,60.0,5.65,5.59,3.46
diamonds_000126,2763.0,0.91,Premium,H,SI1,61.4,56.0,6.09,5.97,3.7
diamonds_000127,2763.0,0.61,Very Good,D,VVS2,59.6,57.0,5.56,5.58,3.32
diamonds_000128,2763.0,0.91,Fair,H,SI2,64.4,57.0,6.11,6.09,3.93
diamonds_000129,2763.0,0.91,Fair,H,SI2,65.7,60.0,6.03,5.99,3.95
diamonds_000130,2763.0,0.77,Ideal,H,VS2,62.0,56.0,5.89,5.86,3.64
diamonds_000131,2764.0,0.71,Very Good,D,SI1,63.6,58.0,5.64,5.68,3.6
diamonds_000132,2764.0,0.71,Ideal,D,SI1,61.9,59.0,5.69,5.72,3.53
diamonds_000133,2765.0,0.7,Very Good,E,VS2,62.6,60.0,5.62,5.65,3.53
diamonds_000134,2765.0,0.77,Very Good,H,VS1,61.3,60.0,5.88,5.9,3.61
diamonds_000135,2765.0,0.63,Premium,E,VVS1,60.9,60.0,5.52,5.55,3.37
diamonds_000136,2765.0,0.71,Very Good,F,VS1,60.1,62.0,5.74,5.77,3.46
diamonds_000137,2765.0,0.71,Premium,F,VS1,61.8,59.0,5.69,5.73,3.53
diamonds_000138,2765.0,0.76,Ideal,H,SI1,61.2,57.0,5.88,5.91,3.61
diamonds_000139,2766.0,0.64,Ideal,G,VVS1,61.9,56.0,5.53,5.56,3.43
diamonds_000140,2766.0,0.71,Premium,G,VS2,60.9,57.0,5.78,5.75,3.51
diamonds_000141,2766.0,0.71,Premium,G,VS2,59.8,56.0,5.89,5.81,3.5
diamonds_000142,2767.0,0.7,Very Good,D,VS2,61.8,55.0,5.68,5.72,3.52
diamonds_000143,2767.0,0.7,Very Good,F,VS1,60.0,57.0,5.8,5.87,3.5
diamonds_000144,2767.0,0.71,Ideal,D,SI2,61.6,55.0,5.74,5.76,3.54
diamonds_000145,2767.0,0.7,Good,H,VVS2,62.1,64.0,5.62,5.65,3.5
diamonds_000146,2768.0,0.71,Very Good,G,VS1,63.3,59.0,5.52,5.61,3.52
diamonds_000147,2768.0,0.73,Very Good,D,SI1,60.2,56.0,5.83,5.87,3.52
diamonds_000148,2768.0,0.7,Very Good,D,SI1,61.1,58.0,5.66,5.73,3.48
diamonds_000149,2768.0,0.7,Ideal,E,SI1,60.9,57.0,5.73,5.76,3.5
diamonds_000150,2768.0,0.71,Premium,D,SI2,61.7,59.0,5.71,5.67,3.51
diamonds_000151,2769.0,0.74,Ideal,I,SI1,61.3,56.0,5.82,5.86,3.57
diamonds_000152,2770.0,0.71,Premium,D,VS2,62.5,60.0,5.65,5.61,3.52
diamonds_000153,2770.0,0.73,Premium,G,VS2,61.4,59.0,5.83,5.76,3.56
diamonds_000154,2770.0,0.76,Very Good,F,SI1,62.9,57.0,5.79,5.81,3.65
diamonds_000155,2770.0,0.76,Ideal,D,SI2,62.4,57.0,5.78,5.83,3.62
diamonds_000156,2770.0,0.71,Ideal,F,SI1,60.7,56.0,5.77,5.8,3.51
diamonds_000157,2770.0,0.73,Premium,G,VS2,60.7,58.0,5.87,5.82,3.55
diamonds_000158,2770.0,0.73,Premium,G,VS1,61.5,58.0,5.79,5.75,3.55
diamonds_000159,2770.0,0.73,Ideal,D,SI2,59.9,57.0,5.92,5.89,3.54
diamonds_000160,2770.0,0.73,Premium,G,VS2,59.2,59.0,5.92,5.87,3.49
diamonds_000161,2771.0,0.72,Very Good,H,VVS2,60.3,56.0,5.81,5.83,3.51
diamonds_000162,2771.0,0.73,Very Good,F,SI1,61.7,60.0,5.79,5.82,3.58
diamonds_000163,2771.0,0.71,Ideal,G,VS2,61.9,57.0,5.73,5.77,3.56
diamonds_000164,2771.0,0.79,Ideal,F,SI2,61.9,55.0,5.97,5.92,3.68
diamonds_000165,2772.0,0.73,Very Good,H,VVS1,60.4,59.0,5.83,5.89,3.54
diamonds_000166,2772.0,0.8,Very Good,F,SI2,61.0,57.0,6.01,6.03,3.67
diamonds_000167,2772.0,0.58,Ideal,G,VVS1,61.5,55.0,5.39,5.44,3.33
diamonds_000168,2772.0,0.58,Ideal,F,VVS1,61.7,56.0,5.33,5.37,3.3
diamonds_000169,2772.0,0.71,Good,E,VS2,59.2,61.0,5.8,5.88,3.46
diamonds_000170,2773.0,0.75,Ideal,D,SI2,61.3,56.0,5.85,5.89,3.6
diamonds_000171,2773.0,0.7,Premium,D,VS2,58.0,62.0,5.87,5.78,3.38
diamonds_000172,2774.0,1.17,Very Good,J,I1,60.2,61.0,6.83,6.9,4.13
diamonds_000173,2774.0,0.6,Ideal,E,VS1,61.7,55.0,5.41,5.44,3.35
diamonds_000174,2774.0,0.7,Ideal,E,SI1,62.7,55.0,5.68,5.74,3.58
diamonds_000175,2774.0,0.83,Good,I,VS2,64.6,54.0,5.85,5.88,3.79
diamonds_000176,2775.0,0.74,Very Good,F,VS2,61.3,61.0,5.8,5.84,3.57
diamonds_000177,2776.0,0.72,Very Good,G,VS2,63.7,56.4,5.62,5.69,3.61
diamonds_000178,2776.0,0.71,Premium,E,VS2,62.7,58.0,5.74,5.68,3.58
diamonds_000179,2776.0,0.71,Ideal,E,VS2,62.2,57.0,5.79,5.62,3.55
diamonds_000180,2776.0,0.54,Ideal,E,VVS2,61.6,56.0,5.25,5.27,3.24
diamonds_000181,2776.0,0.54,Ideal,E,VVS2,61.5,57.0,5.24,5.26,3.23
diamonds_000182,2776.0,0.72,Ideal,G,SI1,61.8,56.0,5.72,5.75,3.55
diamonds_000183,2776.0,0.72,Ideal,G,SI1,60.7,56.0,5.79,5.82,3.53
diamonds_000184,2776.0,0.72,Good,G,VS2,59.7,60.5,5.8,5.84,3.47
diamonds_000185,2776.0,0.71,Ideal,G,SI1,60.5,56.0,5.8,5.76,3.5
diamonds_000186,2777.0,0.7,Very Good,D,VS1,62.7,58.0,5.66,5.73,3.57
diamonds_000187,2777.0,0.71,Premium,F,VS2,62.1,58.0,5.67,5.7,3.53
diamonds_000188,2777.0,0.71,Very Good,F,VS2,62.8,57.0,5.64,5.69,3.56
diamonds_000189,2777.0,0.71,Good,F,VS2,63.8,58.0,5.61,5.64,3.59
diamonds_000190,2777.0,0.71,Good,F,VS2,57.8,60.0,5.87,5.9,3.4
diamonds_000191,2777.0,0.7,Ideal,E,VS2,62.1,55.0,5.7,5.67,3.53
diamonds_000192,2777.0,0.7,Premium,E,VS2,61.1,60.0,5.71,5.64,3.47
diamonds_000193,2777.0,0.7,Premium,E,SI1,60.0,59.0,5.79,5.75,3.46
diamonds_000194,2777.0,0.7,Premium,E,SI1,61.2,57.0,5.73,5.68,3.49
diamonds_000195,2777.0,0.7,Premium,E,SI1,62.7,59.0,5.67,5.63,3.54
diamonds_000196,2777.0,0.7,Premium,E,SI1,61.0,57.0,5.73,5.68,3.48
diamonds_000197,2777.0,0.7,Premium,E,SI1,61.0,58.0,5.78,5.72,3.51
diamonds_000198,2777.0,0.7,Ideal,E,SI1,61.4,57.0,5.76,5.7,3.52
diamonds_000199,2777.0,0.72,Premium,F,SI1,61.8,61.0,5.82,5.71,3.56
diamonds_000200,2777.0,0.7,Very Good,E,SI1,59.9,63.0,5.76,5.7,3.43
diamonds_000201,2777.0,0.7,Premium,E,SI1,61.3,58.0,5.71,5.68,3.49
diamonds_000202,2777.0,0.7,Premium,E,SI1,60.5,58.0,5.77,5.74,3.48
diamonds_000203,2777.0,0.7,Good,E,VS2,64.1,59.0,5.64,5.59,3.6
diamonds_000204,2777.0,0.98,Fair,H,SI2,67.9,60.0,6.05,5.97,4.08
diamonds_000205,2777.0,0.78,Premium,F,SI1,62.4,58.0,5.83,5.8,3.63
diamonds_000206,2777.0,0.7,Very Good,E,SI1,63.2,60.0,5.6,5.51,3.51
diamonds_000207,2778.0,0.52,Ideal,F,VVS1,61.3,55.0,5.19,5.22,3.19
diamonds_000208,2779.0,0.73,Very Good,H,VS2,60.8,56.0,5.82,5.84,3.55
diamonds_000209,2779.0,0.74,Ideal,E,SI1,61.7,56.0,5.84,5.8,3.59
diamonds_000210,2780.0,0.7,Very Good,F,VS2,63.6,57.0,5.61,5.65,3.58
diamonds_000211,2780.0,0.77,Premium,G,VS2,61.2,58.0,5.9,5.93,3.62
diamonds_000212,2780.0,0.71,Ideal,F,VS2,62.1,54.0,5.68,5.72,3.54
diamonds_000213,2780.0,0.74,Ideal,G,VS1,61.5,55.0,5.81,5.86,3.59
diamonds_000214,2780.0,0.7,Ideal,G,VS1,61.4,59.0,5.64,5.73,3.49
diamonds_000215,2781.0,1.01,Premium,F,I1,61.8,60.0,6.39,6.36,3.94
diamonds_000216,2781.0,0.77,Ideal,H,SI1,62.2,56.0,5.83,5.88,3.64
diamonds_000217,2781.0,0.78,Ideal,H,SI1,61.2,56.0,5.92,5.99,3.64
diamonds_000218,2782.0,0.72,Very Good,H,VS1,60.6,63.0,5.83,5.76,3.51
diamonds_000219,2782.0,0.53,Very Good,D,VVS2,57.5,64.0,5.34,5.37,3.08
diamonds_000220,2782.0,0.76,Ideal,G,VS2,61.3,56.0,5.9,5.94,3.63
diamonds_000221,2782.0,0.7,Good,E,VS1,57.2,62.0,5.81,5.77,3.31
diamonds_000222,2782.0,0.7,Premium,E,VS1,62.9,60.0,5.62,5.54,3.51
diamonds_000223,2782.0,0.75,Very Good,D,SI2,63.1,58.0,5.78,5.73,3.63
diamonds_000224,2782.0,0.72,Ideal,D,SI1,60.8,57.0,5.76,5.75,3.5
diamonds_000225,2782.0,0.72,Premium,D,SI1,62.7,59.0,5.73,5.69,3.58
diamonds_000226,2782.0,0.7,Premium,D,SI1,62.8,60.0,5.68,5.66,3.56
diamonds_000227,2782.0,0.84,Fair,G,SI1,55.1,67.0,6.39,6.2,3.47
diamonds_000228,2782.0,0.75,Premium,F,SI1,61.4,59.0,5.88,5.85,3.6
diamonds_000229,2783.0,0.52,Ideal,F,IF,62.2,55.0,5.14,5.18,3.21
diamonds_000230,2784.0,0.72,Very Good,F,VS2,63.0,54.0,5.69,5.73,3.6
diamonds_000231,2784.0,0.79,Very Good,H,VS1,63.7,56.0,5.85,5.92,3.75
diamonds_000232,2787.0,0.72,Very Good,F,VS2,63.6,58.0,5.66,5.69,3.61
diamonds_000233,2787.0,0.51,Ideal,F,VVS1,62.0,57.0,5.11,5.15,3.18
diamonds_000234,2787.0,0.64,Ideal,D,VS1,61.5,56.0,5.54,5.55,3.41
diamonds_000235,2788.0,0.7,Very Good,H,VVS1,60.5,60.0,5.74,5.77,3.48
diamonds_000236,2788.0,0.83,Very Good,I,VS1,61.1,60.0,6.07,6.1,3.72
diamonds_000237,2788.0,0.76,Ideal,I,VVS2,61.8,56.0,5.85,5.87,3.62
diamonds_000238,2788.0,0.71,Good,D,VS2,63.3,56.0,5.64,5.68,3.58
diamonds_000239,2788.0,0.77,Good,G,VS1,59.4,64.0,5.97,5.92,3.53
diamonds_000240,2788.0,0.71,Ideal,F,SI1,62.5,55.0,5.71,5.65,3.55
diamonds_000241,2788.0,1.01,Fair,E,I1,64.5,58.0,6.29,6.21,4.03
diamonds_000242,2788.0,1.01,Premium,H,SI2,62.7,59.0,6.31,6.22,3.93
diamonds_000243,2789.0,0.77,Good,F,SI1,64.2,52.0,5.81,5.77,3.72
diamonds_000244,2789.0,0.76,Good,E,SI1,63.7,54.0,5.76,5.85,3.7
diamonds_000245,2789.0,0.76,Premium,E,SI1,60.4,58.0,5.92,5.94,3.58
diamonds_000246,2789.0,0.76,Premium,E,SI1,61.8,58.0,5.82,5.86,3.61
diamonds_000247,2789.0,1.05,Very Good,J,SI2,63.2,56.0,6.49,6.45,4.09
diamonds_000248,2789.0,0.81,Ideal,G,SI2,61.6,56.0,5.97,6.01,3.69
diamonds_000249,2789.0,0.7,Ideal,E,SI1,61.6,56.0,5.72,5.75,3.53
diamonds_000250,2789.0,0.55,Ideal,G,IF,60.9,57.0,5.28,5.3,3.22
diamonds_000251,2789.0,0.81,Good,G,SI2,61.0,61.0,5.94,5.99,3.64
diamonds_000252,2789.0,0.63,Premium,E,VVS2,62.1,57.0,5.48,5.41,3.38
diamonds_000253,2789.0,0.63,Premium,E,VVS1,60.9,60.0,5.55,5.52,3.37
diamonds_000254,2789.0,0.77,Premium,H,VS1,61.3,60.0,5.9,5.88,3.61
diamonds_000255,2789.0,1.05,Fair,J,SI2,65.8,59.0,6.41,6.27,4.18
diamonds_000256,2790.0,0.64,Ideal,G,IF,61.3,56.0,5.54,5.58,3.41
diamonds_000257,2790.0,0.76,Premium,I,VVS1,58.8,59.0,6.0,5.94,3.51
diamonds_000258,2790.0,0.83,Ideal,F,SI2,62.3,55.0,6.02,6.05,3.76
diamonds_000259,2790.0,0.71,Premium,F,VS1,60.1,62.0,5.77,5.74,3.46
diamonds_000260,2790.0,0.71,Premium,F,VS1,61.8,59.0,5.73,5.69,3.53
diamonds_000261,2791.0,0.87,Very Good,I,SI1,63.6,55.8,6.07,6.1,3.87
diamonds_000262,2791.0,0.73,Ideal,E,SI1,62.2,56.0,5.74,5.78,3.58
diamonds_000263,2792.0,0.71,Premium,E,SI1,59.2,59.0,5.83,5.86,3.46
diamonds_000264,2792.0,0.71,Premium,E,SI1,61.8,59.0,5.7,5.75,3.54
diamonds_000265,2792.0,0.71,Ideal,E,SI1,61.3,55.0,5.72,5.77,3.52
diamonds_000266,2792.0,0.7,Premium,F,VS1,62.1,60.0,5.71,5.65,3.53
diamonds_000267,2792.0,0.7,Premium,F,VS1,60.7,60.0,5.78,5.75,3.5
diamonds_000268,2792.0,0.76,Premium,H,VVS2,59.6,57.0,5.91,5.86,3.51
diamonds_000269,2792.0,0.7,Ideal,F,VS1,62.2,56.0,5.73,5.68,3.55
diamonds_000270,2793.0,0.79,Very Good,G,SI1,60.6,57.0,5.98,6.06,3.65
diamonds_000271,2793.0,0.7,Very Good,E,VS2,62.9,57.0,5.66,5.69,3.57
diamonds_000272,2793.0,0.7,Good,E,VS2,64.1,55.0,5.6,5.66,3.61
diamonds_000273,2793.0,0.76,Ideal,I,VS2,61.3,56.0,5.87,5.91,3.61
diamonds_000274,2793.0,0.73,Ideal,H,VS2,62.7,55.0,5.72,5.76,3.6
diamonds_000275,2794.0,0.79,Very Good,E,SI1,63.2,56.0,5.91,5.86,3.72
diamonds_000276,2795.0,0.71,Very Good,E,VS2,60.7,56.0,5.81,5.82,3.53
diamonds_000277,2795.0,0.81,Premium,I,VVS2,61.9,60.0,5.91,5.86,3.64
diamonds_000278,2795.0,0.81,Ideal,F,SI2,62.6,55.0,5.92,5.96,3.72
diamonds_000279,2795.0,0.72,Good,F,VS1,60.7,60.0,5.74,5.72,3.48
diamonds_000280,2795.0,0.72,Premium,D,SI2,62.0,60.0,5.73,5.69,3.54
diamonds_000281,2795.0,0.72,Premium,I,IF,63.0,57.0,5.72,5.7,3.6
diamonds_000282,2795.0,0.81,Premium,H,VS2,58.0,59.0,6.17,6.13,3.57
diamonds_000283,2795.0,0.72,Premium,G,VS2,62.9,57.0,5.73,5.65,3.58
diamonds_000284,2795.0,1.0,Premium,I,SI2,58.2,60.0,6.61,6.55,3.83
diamonds_000285,2796.0,0.73,Good,E,SI1,63.2,58.0,5.7,5.76,3.62
diamonds_000286,2797.0,0.81,Very Good,H,SI2,61.3,59.0,5.94,6.01,3.66
diamonds_000287,2797.0,0.81,Very Good,E,SI1,60.3,60.0,6.07,6.1,3.67
diamonds_000288,2797.0,0.71,Premium,D,SI1,62.7,60.0,5.67,5.71,3.57
diamonds_000289,2797.0,0.71,Premium,D,SI1,61.3,58.0,5.73,5.75,3.52
diamonds_000290,2797.0,0.71,Premium,D,SI1,61.6,60.0,5.74,5.69,3.52
diamonds_000291,2797.0,0.57,Ideal,F,VVS2,61.9,55.0,5.34,5.35,3.31
diamonds_000292,2797.0,0.51,Ideal,D,VVS1,61.7,56.0,5.12,5.16,3.17
diamonds_000293,2797.0,0.72,Ideal,G,VS2,61.9,58.0,5.72,5.75,3.55
