__sample_id__,__target__,checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker
german_numer_000035,0,0<=X<200,45,critical/other existing credit,radio/tv,4746,<100,<1,4,male single,,2,life insurance,25,,own,2,unskilled resident,1,,yes
german_numer_000036,1,no checking,48,critical/other existing credit,education,6110,<100,1<=X<4,1,male single,,3,no known property,31,bank,for free,1,skilled,1,yes,yes
german_numer_000037,0,>=200,18,existing paid,radio/tv,2100,<100,1<=X<4,4,male single,co applicant,2,real estate,37,stores,own,1,skilled,1,,yes
german_numer_000038,1,>=200,10,existing paid,domestic appliance,1225,<100,1<=X<4,2,male single,,2,car,37,,own,1,skilled,1,yes,yes
german_numer_000039,1,0<=X<200,9,existing paid,radio/tv,458,<100,1<=X<4,4,male single,,3,real estate,24,,own,1,skilled,1,,yes
german_numer_000040,1,no checking,30,existing paid,radio/tv,2333,500<=X<1000,>=7,4,male single,,2,car,30,bank,own,1,high qualif/self emp/mgmt,1,,yes
german_numer_000041,1,0<=X<200,12,existing paid,radio/tv,1158,500<=X<1000,1<=X<4,3,male div/sep,,1,car,26,,own,1,skilled,1,yes,yes
german_numer_000042,1,0<=X<200,18,delayed previously,repairs,6204,<100,1<=X<4,2,male single,,4,real estate,44,,own,1,unskilled resident,2,yes,yes
german_numer_000043,1,<0,30,critical/other existing credit,used car,6187,100<=X<500,4<=X<7,1,male mar/wid,,4,car,24,,rent,2,skilled,1,,yes
german_numer_000044,0,<0,48,critical/other existing credit,used car,6143,<100,>=7,4,female div/dep/mar,,4,no known property,58,stores,for free,2,unskilled resident,1,,yes
german_numer_000045,1,no checking,11,critical/other existing credit,new car,1393,<100,<1,4,female div/dep/mar,,4,car,35,,own,2,high qualif/self emp/mgmt,1,,yes
german_numer_000046,1,no checking,36,existing paid,radio/tv,2299,500<=X<1000,>=7,4,male single,,4,car,39,,own,1,skilled,1,,yes
german_numer_000047,1,<0,6,existing paid,used car,1352,500<=X<1000,unemployed,1,female div/dep/mar,,2,life insurance,23,,rent,1,unemp/unskilled non res,1,yes,yes
german_numer_000048,1,no checking,11,critical/other existing credit,new car,7228,<100,1<=X<4,1,male single,,4,life insurance,39,,own,2,unskilled resident,1,,yes
german_numer_000049,1,no checking,12,existing paid,radio/tv,2073,100<=X<500,1<=X<4,4,female div/dep/mar,co applicant,2,real estate,28,,own,1,skilled,1,,yes
german_numer_000050,1,0<=X<200,24,delayed previously,furniture/equipment,2333,no known savings,<1,4,male single,,2,life insurance,29,bank,own,1,unskilled resident,1,,yes
german_numer_000051,1,0<=X<200,27,delayed previously,used car,5965,<100,>=7,1,male single,,2,car,30,,own,2,high qualif/self emp/mgmt,1,yes,yes
german_numer_000052,1,no checking,12,existing paid,radio/tv,1262,<100,1<=X<4,3,male single,,2,car,25,,own,1,skilled,1,,yes
german_numer_000053,1,no checking,18,existing paid,used car,3378,no known savings,1<=X<4,2,male single,,1,life insurance,31,,own,1,skilled,1,yes,yes
german_numer_000054,0,0<=X<200,36,delayed previously,new car,2225,<100,>=7,4,male single,,4,no known property,57,bank,for free,2,skilled,1,yes,yes
german_numer_000055,1,no checking,6,all paid,new car,783,no known savings,1<=X<4,1,male single,guarantor,2,real estate,26,stores,own,1,unskilled resident,2,,yes
german_numer_000056,0,0<=X<200,12,existing paid,radio/tv,6468,no known savings,unemployed,2,male single,,1,no known property,52,,own,1,high qualif/self emp/mgmt,1,yes,yes
german_numer_000057,1,no checking,36,critical/other existing credit,radio/tv,9566,<100,1<=X<4,2,female div/dep/mar,,2,car,31,stores,own,2,skilled,1,,yes
german_numer_000058,1,>=200,18,existing paid,new car,1961,<100,>=7,3,female div/dep/mar,,2,car,23,,own,1,high qualif/self emp/mgmt,1,,yes
german_numer_000059,0,<0,36,critical/other existing credit,furniture/equipment,6229,<100,<1,4,female div/dep/mar,co applicant,4,no known property,23,,rent,2,unskilled resident,1,yes,yes
german_numer_000060,1,0<=X<200,9,existing paid,business,1391,<100,1<=X<4,2,male mar/wid,,1,real estate,27,bank,own,1,skilled,1,yes,yes
german_numer_000061,1,0<=X<200,15,critical/other existing credit,radio/tv,1537,no known savings,>=7,4,male single,guarantor,4,real estate,50,,own,2,skilled,1,yes,yes
german_numer_000062,0,0<=X<200,36,no credits/all paid,business,1953,<100,>=7,4,male single,,4,no known property,61,,for free,1,high qualif/self emp/mgmt,1,yes,yes
german_numer_000063,0,0<=X<200,48,no credits/all paid,business,14421,<100,1<=X<4,2,male single,,2,car,25,,own,1,skilled,1,yes,yes
german_numer_000064,1,no checking,24,existing paid,radio/tv,3181,<100,<1,4,female div/dep/mar,,4,life insurance,26,,own,1,skilled,1,yes,yes
german_numer_000065,1,no checking,27,existing paid,repairs,5190,no known savings,>=7,4,male single,,4,life insurance,48,,own,4,skilled,2,yes,yes
german_numer_000066,1,no checking,12,existing paid,radio/tv,2171,<100,<1,2,female div/dep/mar,,2,car,29,bank,own,1,skilled,1,,yes
german_numer_000067,1,0<=X<200,12,existing paid,new car,1007,>=1000,1<=X<4,4,male mar/wid,,1,real estate,22,,own,1,skilled,1,,yes
german_numer_000068,0,no checking,36,existing paid,education,1819,<100,1<=X<4,4,male single,,4,no known property,37,stores,for free,1,skilled,1,yes,yes
german_numer_000069,1,no checking,36,existing paid,radio/tv,2394,no known savings,1<=X<4,4,female div/dep/mar,,4,car,25,,own,1,skilled,1,,yes
german_numer_000070,1,no checking,36,existing paid,used car,8133,<100,1<=X<4,1,female div/dep/mar,,2,life insurance,30,bank,own,1,skilled,1,,yes
german_numer_000071,1,no checking,7,critical/other existing credit,radio/tv,730,no known savings,>=7,4,male single,,2,life insurance,46,,rent,2,unskilled resident,1,yes,yes
german_numer_000072,1,<0,8,critical/other existing credit,other,1164,<100,>=7,3,male single,,4,no known property,51,bank,for free,2,high qualif/self emp/mgmt,2,yes,yes
german_numer_000073,1,0<=X<200,42,critical/other existing credit,business,5954,<100,4<=X<7,2,female div/dep/mar,,1,real estate,41,bank,own,2,unskilled resident,1,,yes
german_numer_000074,0,<0,36,existing paid,education,1977,no known savings,>=7,4,male single,,4,no known property,40,,own,1,high qualif/self emp/mgmt,1,yes,yes
german_numer_000075,1,<0,12,critical/other existing credit,used car,1526,<100,>=7,4,male single,,4,no known property,66,,for free,2,high qualif/self emp/mgmt,1,,yes
german_numer_000076,0,<0,42,existing paid,radio/tv,3965,<100,<1,4,male single,,3,car,34,,own,1,skilled,1,,yes
german_numer_000077,1,0<=X<200,11,delayed previously,radio/tv,4771,<100,4<=X<7,2,male single,,4,life insurance,51,,own,1,skilled,1,,yes
german_numer_000078,1,no checking,54,no credits/all paid,used car,9436,no known savings,1<=X<4,2,male single,,2,life insurance,39,,own,1,unskilled resident,2,,yes
german_numer_000079,1,0<=X<200,30,existing paid,furniture/equipment,3832,<100,<1,2,male mar/wid,,1,life insurance,22,,own,1,skilled,1,,yes
german_numer_000080,0,no checking,24,existing paid,radio/tv,5943,no known savings,<1,1,female div/dep/mar,,1,car,44,,own,2,skilled,1,yes,yes
german_numer_000081,1,no checking,15,existing paid,radio/tv,1213,500<=X<1000,>=7,4,male single,,3,life insurance,47,stores,own,1,skilled,1,yes,yes
german_numer_000082,1,no checking,18,existing paid,business,1568,100<=X<500,1<=X<4,3,female div/dep/mar,,4,life insurance,24,,rent,1,unskilled resident,1,,yes
german_numer_000083,1,<0,24,existing paid,other,1755,<100,>=7,4,female div/dep/mar,guarantor,4,real estate,58,,own,1,unskilled resident,1,yes,yes
german_numer_000084,1,<0,10,existing paid,radio/tv,2315,<100,>=7,3,male single,,4,real estate,52,,own,1,unskilled resident,1,,yes
german_numer_000085,1,no checking,12,critical/other existing credit,business,1412,<100,1<=X<4,4,female div/dep/mar,guarantor,2,real estate,29,,own,2,high qualif/self emp/mgmt,1,yes,yes
german_numer_000086,1,0<=X<200,18,critical/other existing credit,furniture/equipment,1295,<100,<1,4,female div/dep/mar,,1,life insurance,27,,own,2,skilled,1,,yes
german_numer_000087,0,0<=X<200,36,existing paid,education,12612,100<=X<500,1<=X<4,1,male single,,4,no known property,47,,for free,1,skilled,2,yes,yes
german_numer_000088,1,<0,18,existing paid,new car,2249,100<=X<500,4<=X<7,4,male single,,3,car,30,,own,1,high qualif/self emp/mgmt,2,yes,yes
german_numer_000089,0,<0,12,no credits/all paid,repairs,1108,<100,4<=X<7,4,male single,,3,real estate,28,,own,2,skilled,1,,yes
german_numer_000090,1,no checking,12,critical/other existing credit,radio/tv,618,<100,>=7,4,male single,,4,real estate,56,,own,1,skilled,1,,yes
german_numer_000091,1,<0,12,critical/other existing credit,used car,1409,<100,>=7,4,male single,,3,real estate,54,,own,1,skilled,1,,yes
german_numer_000092,0,no checking,12,critical/other existing credit,radio/tv,797,no known savings,>=7,4,female div/dep/mar,,3,life insurance,33,bank,own,1,unskilled resident,2,,yes
german_numer_000093,1,>=200,24,critical/other existing credit,furniture/equipment,3617,no known savings,>=7,4,male single,co applicant,4,no known property,20,,rent,2,skilled,1,,yes
german_numer_000094,1,0<=X<200,12,existing paid,new car,1318,>=1000,>=7,4,male single,,4,real estate,54,,own,1,skilled,1,yes,yes
german_numer_000095,0,0<=X<200,54,no credits/all paid,business,15945,<100,<1,3,male single,,4,no known property,58,,rent,1,skilled,1,yes,yes
german_numer_000096,1,no checking,12,critical/other existing credit,education,2012,no known savings,4<=X<7,4,female div/dep/mar,,2,car,61,,own,1,skilled,1,,yes
german_numer_000097,1,0<=X<200,18,existing paid,business,2622,100<=X<500,1<=X<4,4,male single,,4,car,34,,own,1,skilled,1,,yes
german_numer_000098,1,0<=X<200,36,critical/other existing credit,radio/tv,2337,<100,>=7,4,male single,,4,real estate,36,,own,1,skilled,1,,yes
german_numer_000099,1,0<=X<200,20,delayed previously,used car,7057,no known savings,4<=X<7,3,male single,,4,life insurance,36,bank,rent,2,high qualif/self emp/mgmt,2,yes,yes
german_numer_000100,1,no checking,24,existing paid,new car,1469,100<=X<500,>=7,4,male mar/wid,,4,real estate,41,,rent,1,unskilled resident,1,,yes
german_numer_000101,1,0<=X<200,36,existing paid,radio/tv,2323,<100,4<=X<7,4,male single,,4,car,24,,rent,1,skilled,1,,yes
german_numer_000102,1,no checking,6,delayed previously,radio/tv,932,<100,1<=X<4,3,female div/dep/mar,,2,real estate,24,,own,1,skilled,1,,yes
german_numer_000103,1,0<=X<200,9,critical/other existing credit,furniture/equipment,1919,<100,4<=X<7,4,male single,,3,car,35,,rent,1,skilled,1,yes,yes
german_numer_000104,1,no checking,12,existing paid,used car,2445,no known savings,<1,2,male mar/wid,,4,car,26,,rent,1,skilled,1,yes,yes
german_numer_000105,0,0<=X<200,24,critical/other existing credit,other,11938,<100,1<=X<4,2,male single,co applicant,3,car,39,,own,2,high qualif/self emp/mgmt,2,yes,yes
german_numer_000106,0,no checking,18,all paid,new car,6458,<100,>=7,2,male single,,4,no known property,39,bank,own,2,high qualif/self emp/mgmt,2,yes,yes
german_numer_000107,1,0<=X<200,12,existing paid,new car,6078,<100,4<=X<7,2,male single,,2,car,32,,own,1,skilled,1,,yes
german_numer_000108,1,<0,24,existing paid,furniture/equipment,7721,no known savings,<1,1,female div/dep/mar,,2,life insurance,30,,own,1,skilled,1,yes,no
german_numer_000109,1,0<=X<200,14,existing paid,business,1410,500<=X<1000,>=7,1,male mar/wid,,2,real estate,35,,own,1,skilled,1,yes,yes
german_numer_000110,1,0<=X<200,6,delayed previously,business,1449,100<=X<500,>=7,1,male div/sep,,2,car,31,bank,own,2,skilled,2,,yes
german_numer_000111,1,>=200,15,existing paid,education,392,<100,<1,4,female div/dep/mar,,4,life insurance,23,,rent,1,skilled,1,yes,yes
german_numer_000112,1,0<=X<200,18,existing paid,new car,6260,<100,4<=X<7,3,male single,,3,real estate,28,,rent,1,unskilled resident,1,,yes
german_numer_000113,0,no checking,36,critical/other existing credit,new car,7855,<100,1<=X<4,4,female div/dep/mar,,2,real estate,25,stores,own,2,skilled,1,yes,yes
german_numer_000114,1,<0,12,existing paid,radio/tv,1680,500<=X<1000,>=7,3,male mar/wid,,1,real estate,35,,own,1,skilled,1,,yes
german_numer_000115,1,no checking,48,critical/other existing credit,radio/tv,3578,no known savings,>=7,4,male single,,1,real estate,47,,own,1,skilled,1,yes,yes
german_numer_000116,0,<0,42,existing paid,radio/tv,7174,no known savings,4<=X<7,4,female div/dep/mar,,3,car,30,,own,1,high qualif/self emp/mgmt,1,yes,yes
german_numer_000117,1,<0,10,critical/other existing credit,furniture/equipment,2132,no known savings,<1,2,female div/dep/mar,co applicant,3,real estate,27,,rent,2,skilled,1,,no
german_numer_000118,0,<0,33,critical/other existing credit,furniture/equipment,4281,500<=X<1000,1<=X<4,1,female div/dep/mar,,4,car,23,,own,2,skilled,1,,yes
german_numer_000119,1,0<=X<200,12,critical/other existing credit,new car,2366,500<=X<1000,4<=X<7,3,male div/sep,,3,car,36,,own,1,high qualif/self emp/mgmt,1,yes,yes
german_numer_000120,0,<0,21,existing paid,radio/tv,1835,<100,1<=X<4,3,female div/dep/mar,,2,real estate,25,,own,2,skilled,1,yes,yes
german_numer_000121,1,no checking,24,critical/other existing credit,used car,3868,<100,>=7,4,female div/dep/mar,,2,car,41,,rent,2,high qualif/self emp/mgmt,1,yes,yes
german_numer_000122,1,no checking,12,existing paid,furniture/equipment,1768,<100,1<=X<4,3,male single,,2,real estate,24,,rent,1,unskilled resident,1,,yes
german_numer_000123,1,>=200,10,critical/other existing credit,new car,781,<100,>=7,4,male single,,4,no known property,63,,for free,2,skilled,1,yes,yes
german_numer_000124,0,0<=X<200,18,existing paid,furniture/equipment,1924,no known savings,<1,4,female div/dep/mar,,3,real estate,27,,rent,1,skilled,1,,yes
german_numer_000125,1,<0,12,critical/other existing credit,new car,2121,<100,1<=X<4,4,male single,,2,life insurance,30,,own,2,skilled,1,,yes
german_numer_000126,1,<0,12,existing paid,radio/tv,701,<100,1<=X<4,4,male mar/wid,,2,real estate,40,,own,1,unskilled resident,1,,yes
german_numer_000127,0,0<=X<200,12,existing paid,repairs,639,<100,1<=X<4,4,male single,,2,car,30,,own,1,skilled,1,,yes
german_numer_000128,1,0<=X<200,12,critical/other existing credit,used car,1860,<100,unemployed,4,male single,,2,car,34,,own,2,high qualif/self emp/mgmt,1,yes,yes
german_numer_000129,0,<0,12,critical/other existing credit,new car,3499,<100,1<=X<4,3,female div/dep/mar,co applicant,2,real estate,29,,own,2,skilled,1,,yes
german_numer_000130,1,0<=X<200,48,existing paid,new car,8487,no known savings,4<=X<7,1,female div/dep/mar,,2,car,24,,own,1,skilled,1,,yes
german_numer_000131,0,<0,36,delayed previously,education,6887,<100,1<=X<4,4,male single,,3,life insurance,29,stores,own,1,skilled,1,yes,yes
german_numer_000132,1,no checking,15,existing paid,furniture/equipment,2708,<100,<1,2,male single,,3,life insurance,27,bank,own,2,unskilled resident,1,,yes
german_numer_000133,1,no checking,18,existing paid,furniture/equipment,1984,<100,1<=X<4,4,male single,,4,no known property,47,bank,for free,2,skilled,1,,yes
german_numer_000134,1,no checking,60,existing paid,radio/tv,10144,100<=X<500,4<=X<7,2,female div/dep/mar,,4,real estate,21,,own,1,skilled,1,yes,yes
german_numer_000135,1,no checking,12,critical/other existing credit,radio/tv,1240,no known savings,>=7,4,female div/dep/mar,,2,real estate,38,,own,2,skilled,1,yes,yes
german_numer_000136,1,no checking,27,delayed previously,used car,8613,>=1000,1<=X<4,2,male single,,2,car,27,,own,2,skilled,1,,yes
german_numer_000137,0,0<=X<200,12,existing paid,radio/tv,766,500<=X<1000,1<=X<4,4,male single,,3,real estate,66,,own,1,unskilled resident,1,,yes
german_numer_000138,1,0<=X<200,15,critical/other existing credit,radio/tv,2728,no known savings,4<=X<7,4,male single,guarantor,2,real estate,35,bank,own,3,skilled,1,yes,yes
german_numer_000139,1,>=200,12,existing paid,radio/tv,1881,<100,1<=X<4,2,female div/dep/mar,,2,car,44,,rent,1,unskilled resident,1,yes,yes
german_numer_000140,1,>=200,6,existing paid,new car,709,>=1000,<1,2,male mar/wid,,2,real estate,27,,own,1,unemp/unskilled non res,1,,no
german_numer_000141,1,0<=X<200,36,existing paid,radio/tv,4795,<100,<1,4,female div/dep/mar,,1,no known property,30,,own,1,high qualif/self emp/mgmt,1,yes,yes
german_numer_000142,1,<0,27,existing paid,radio/tv,3416,<100,1<=X<4,3,male single,,2,car,27,,own,1,high qualif/self emp/mgmt,1,,yes
german_numer_000143,0,<0,18,existing paid,furniture/equipment,2462,<100,1<=X<4,2,male single,,2,car,22,,own,1,skilled,1,,yes
german_numer_000144,1,no checking,21,critical/other existing credit,furniture/equipment,2288,<100,<1,4,female div/dep/mar,,4,life insurance,23,,own,1,skilled,1,yes,yes
german_numer_000145,1,0<=X<200,48,all paid,business,3566,100<=X<500,4<=X<7,4,male single,,2,car,30,,own,1,skilled,1,,yes
german_numer_000146,1,<0,6,critical/other existing credit,new car,860,<100,>=7,1,female div/dep/mar,,4,no known property,39,,own,2,skilled,1,yes,yes
german_numer_000147,1,no checking,12,critical/other existing credit,new car,682,100<=X<500,4<=X<7,4,female div/dep/mar,,3,car,51,,own,2,skilled,1,yes,yes
german_numer_000148,1,<0,36,critical/other existing credit,furniture/equipment,5371,<100,1<=X<4,3,male single,guarantor,2,life insurance,28,,own,2,skilled,1,,yes
german_numer_000149,1,no checking,18,critical/other existing credit,radio/tv,1582,>=1000,>=7,4,male single,,4,car,46,,own,2,skilled,1,,yes
german_numer_000150,1,no checking,6,existing paid,radio/tv,1346,100<=X<500,>=7,2,male single,,4,no known property,42,bank,for free,1,skilled,2,yes,yes
german_numer_000151,1,no checking,10,existing paid,radio/tv,1924,<100,1<=X<4,1,male single,,4,life insurance,38,,own,1,skilled,1,yes,no
german_numer_000152,1,>=200,36,existing paid,radio/tv,5848,<100,1<=X<4,4,male single,,1,car,24,,own,1,skilled,1,,yes
german_numer_000153,1,0<=X<200,24,critical/other existing credit,used car,7758,>=1000,>=7,2,female div/dep/mar,,4,no known property,29,,rent,1,skilled,1,,yes
german_numer_000154,1,0<=X<200,24,delayed previously,business,6967,100<=X<500,4<=X<7,4,male single,,4,car,36,,rent,1,high qualif/self emp/mgmt,1,yes,yes
german_numer_000155,0,<0,12,existing paid,furniture/equipment,1282,<100,1<=X<4,2,female div/dep/mar,,4,car,20,,rent,1,skilled,1,,yes
german_numer_000156,1,<0,9,critical/other existing credit,repairs,1288,100<=X<500,>=7,3,male single,guarantor,4,real estate,48,,own,2,skilled,2,,no
german_numer_000157,1,<0,12,all paid,retraining,339,<100,>=7,4,male mar/wid,,1,car,45,bank,own,1,unskilled resident,1,,yes
german_numer_000158,1,0<=X<200,24,existing paid,new car,3512,100<=X<500,4<=X<7,2,male single,,3,car,38,bank,own,2,skilled,1,yes,yes
german_numer_000159,1,no checking,6,critical/other existing credit,radio/tv,1898,no known savings,1<=X<4,1,male single,,2,real estate,34,,own,2,unskilled resident,2,,yes
german_numer_000160,1,no checking,24,critical/other existing credit,radio/tv,2872,100<=X<500,>=7,3,male single,,4,real estate,36,,own,1,skilled,2,yes,yes
german_numer_000161,1,no checking,18,critical/other existing credit,new car,1055,<100,<1,4,female div/dep/mar,,1,life insurance,30,,own,2,skilled,1,,yes
german_numer_000162,1,no checking,15,existing paid,domestic appliance,1262,500<=X<1000,4<=X<7,4,male single,,3,life insurance,36,,own,2,skilled,1,yes,yes
german_numer_000163,1,0<=X<200,10,existing paid,new car,7308,<100,unemployed,2,male single,,4,no known property,70,bank,for free,1,high qualif/self emp/mgmt,1,yes,yes
german_numer_000164,1,no checking,36,existing paid,new car,909,500<=X<1000,>=7,4,male single,,4,life insurance,36,,own,1,skilled,1,,yes
german_numer_000165,1,no checking,6,existing paid,furniture/equipment,2978,500<=X<1000,1<=X<4,1,male single,,2,car,32,,own,1,skilled,1,yes,yes
german_numer_000166,0,<0,18,existing paid,furniture/equipment,1131,<100,unemployed,4,female div/dep/mar,,2,car,33,,own,1,skilled,1,,yes
german_numer_000167,1,0<=X<200,11,existing paid,furniture/equipment,1577,>=1000,<1,4,female div/dep/mar,,1,real estate,20,,own,1,skilled,1,,yes
german_numer_000168,1,no checking,24,existing paid,furniture/equipment,3972,<100,4<=X<7,2,female div/dep/mar,,4,life insurance,25,,rent,1,skilled,1,yes,yes
german_numer_000169,0,0<=X<200,24,critical/other existing credit,business,1935,<100,>=7,4,male div/sep,,4,real estate,31,,own,2,skilled,1,yes,yes
german_numer_000170,0,<0,15,no credits/all paid,new car,950,<100,>=7,4,male single,,3,car,33,,rent,2,skilled,2,,yes
german_numer_000171,1,no checking,12,existing paid,furniture/equipment,763,<100,1<=X<4,4,female div/dep/mar,,1,real estate,26,,own,1,skilled,1,yes,yes
german_numer_000172,0,0<=X<200,24,delayed previously,furniture/equipment,2064,<100,unemployed,3,female div/dep/mar,,2,life insurance,34,,own,1,high qualif/self emp/mgmt,1,yes,yes
german_numer_000173,1,0<=X<200,8,existing paid,radio/tv,1414,<100,1<=X<4,4,male single,guarantor,2,real estate,33,,own,1,skilled,1,,no
german_numer_000174,0,<0,21,delayed previously,education,3414,<100,<1,2,male single,,1,life insurance,26,,own,2,skilled,1,,yes
german_numer_000175,0,no checking,30,all paid,used car,7485,no known savings,unemployed,4,female div/dep/mar,,1,real estate,53,bank,own,1,high qualif/self emp/mgmt,1,yes,yes
german_numer_000176,1,<0,12,existing paid,furniture/equipment,2577,<100,1<=X<4,2,male div/sep,,1,car,42,,own,1,skilled,1,,yes
german_numer_000177,1,<0,6,critical/other existing credit,radio/tv,338,500<=X<1000,>=7,4,male single,,4,car,52,,own,2,skilled,1,,yes
german_numer_000178,1,no checking,12,existing paid,radio/tv,1963,<100,4<=X<7,4,male single,,2,car,31,,rent,2,high qualif/self emp/mgmt,2,yes,yes
german_numer_000179,1,<0,21,critical/other existing credit,new car,571,<100,>=7,4,male single,,4,real estate,65,,own,2,skilled,1,,yes
german_numer_000180,0,no checking,36,delayed previously,business,9572,<100,<1,1,male div/sep,,1,car,28,,own,2,skilled,1,,yes
german_numer_000181,0,0<=X<200,36,delayed previously,business,4455,<100,1<=X<4,2,male div/sep,,2,real estate,30,stores,own,2,high qualif/self emp/mgmt,1,yes,yes
