__sample_id__,__target__,V1,V2,V3,V4
blood_000094,0,12,11,2750,23
blood_000095,0,4,7,1750,28
blood_000096,0,3,17,4250,86
blood_000097,1,4,9,2250,38
blood_000098,1,4,4,1000,14
blood_000099,1,5,7,1750,26
blood_000100,1,4,8,2000,34
blood_000101,1,2,13,3250,76
blood_000102,0,4,9,2250,40
blood_000103,0,2,5,1250,26
blood_000104,0,2,5,1250,26
blood_000105,0,6,17,4250,70
blood_000106,0,0,8,2000,59
blood_000107,0,3,5,1250,26
blood_000108,0,2,3,750,14
blood_000109,0,2,10,2500,64
blood_000110,1,4,5,1250,23
blood_000111,0,4,9,2250,46
blood_000112,0,4,5,1250,23
blood_000113,1,4,8,2000,40
blood_000114,0,2,12,3000,82
blood_000115,0,11,24,6000,64
blood_000116,1,2,7,1750,46
blood_000117,0,4,11,2750,61
blood_000118,0,1,7,1750,57
blood_000119,1,2,11,2750,79
blood_000120,1,2,3,750,16
blood_000121,1,4,5,1250,26
blood_000122,1,2,6,1500,41
blood_000123,1,2,5,1250,33
blood_000124,0,2,4,1000,26
blood_000125,0,2,5,1250,34
blood_000126,1,4,8,2000,46
blood_000127,0,2,4,1000,26
blood_000128,1,4,8,2000,48
blood_000129,1,2,2,500,10
blood_000130,0,4,5,1250,28
blood_000131,0,2,12,3000,95
blood_000132,0,2,2,500,10
blood_000133,0,4,6,1500,35
blood_000134,0,2,11,2750,88
blood_000135,0,2,3,750,19
blood_000136,0,2,5,1250,37
blood_000137,0,2,12,3000,98
blood_000138,0,9,5,1250,19
blood_000139,0,2,2,500,11
blood_000140,0,2,9,2250,74
blood_000141,0,5,14,3500,86
blood_000142,0,4,3,750,16
blood_000143,0,4,3,750,16
blood_000144,1,4,2,500,9
blood_000145,1,4,3,750,16
blood_000146,0,6,3,750,14
blood_000147,0,2,2,500,11
blood_000148,1,2,2,500,11
blood_000149,0,2,2,500,11
blood_000150,1,2,7,1750,58
blood_000151,0,4,6,1500,39
blood_000152,0,4,11,2750,78
blood_000153,1,2,1,250,2
blood_000154,0,2,1,250,2
blood_000155,0,2,1,250,2
blood_000156,0,2,1,250,2
blood_000157,0,2,1,250,2
blood_000158,0,2,1,250,2
blood_000159,0,2,1,250,2
blood_000160,0,2,1,250,2
blood_000161,0,2,1,250,2
blood_000162,0,2,1,250,2
blood_000163,1,2,1,250,2
blood_000164,1,2,1,250,2
blood_000165,1,2,1,250,2
blood_000166,0,2,1,250,2
blood_000167,0,2,1,250,2
blood_000168,0,2,1,250,2
blood_000169,0,2,1,250,2
blood_000170,0,2,1,250,2
blood_000171,0,2,1,250,2
blood_000172,0,2,1,250,2
blood_000173,0,2,1,250,2
blood_000174,0,2,1,250,2
blood_000175,0,11,10,2500,35
blood_000176,1,11,4,1000,16
blood_000177,1,4,5,1250,33
blood_000178,1,4,6,1500,41
blood_000179,0,2,3,750,22
blood_000180,1,4,4,1000,26
blood_000181,0,10,4,1000,16
blood_000182,0,2,4,1000,35
blood_000183,0,4,12,3000,88
blood_000184,0,13,8,2000,26
blood_000185,0,11,9,2250,33
blood_000186,0,4,5,1250,34
blood_000187,0,4,4,1000,26
blood_000188,0,8,15,3750,77
blood_000189,1,4,5,1250,35
blood_000190,0,4,7,1750,52
blood_000191,0,4,7,1750,52
blood_000192,0,2,4,1000,35
blood_000193,0,11,11,2750,42
blood_000194,0,2,2,500,14
blood_000195,1,2,5,1250,47
blood_000196,1,9,8,2000,38
blood_000197,0,4,6,1500,47
blood_000198,0,11,7,1750,29
blood_000199,0,9,9,2250,45
blood_000200,0,4,6,1500,52
blood_000201,0,4,7,1750,58
blood_000202,1,6,2,500,11
blood_000203,0,4,7,1750,58
blood_000204,0,11,9,2250,38
blood_000205,0,11,6,1500,26
blood_000206,0,2,2,500,16
blood_000207,0,2,7,1750,76
blood_000208,0,11,6,1500,27
blood_000209,0,11,3,750,14
blood_000210,0,4,1,250,4
blood_000211,0,4,1,250,4
blood_000212,0,4,1,250,4
blood_000213,0,4,1,250,4
blood_000214,0,4,1,250,4
blood_000215,1,4,1,250,4
blood_000216,0,4,1,250,4
blood_000217,0,4,1,250,4
blood_000218,0,4,1,250,4
blood_000219,0,4,1,250,4
blood_000220,0,4,1,250,4
blood_000221,1,4,1,250,4
blood_000222,1,4,1,250,4
blood_000223,0,4,1,250,4
blood_000224,1,4,1,250,4
blood_000225,1,4,1,250,4
blood_000226,0,4,1,250,4
blood_000227,0,4,3,750,24
blood_000228,0,4,1,250,4
blood_000229,0,4,1,250,4
blood_000230,0,4,1,250,4
blood_000231,1,4,1,250,4
blood_000232,0,4,1,250,4
blood_000233,0,10,8,2000,39
blood_000234,0,14,7,1750,26
blood_000235,0,8,10,2500,63
blood_000236,0,11,3,750,15
blood_000237,0,4,2,500,14
blood_000238,0,2,4,1000,43
blood_000239,0,8,9,2250,58
blood_000240,1,8,8,2000,52
blood_000241,0,11,22,5500,98
blood_000242,1,4,3,750,25
blood_000243,1,11,17,4250,79
blood_000244,0,9,2,500,11
blood_000245,0,4,5,1250,46
blood_000246,0,11,12,3000,58
blood_000247,0,7,12,3000,86
blood_000248,0,11,2,500,11
blood_000249,0,11,2,500,11
blood_000250,0,11,2,500,11
blood_000251,0,2,6,1500,75
blood_000252,1,11,8,2000,41
blood_000253,1,11,3,750,16
blood_000254,0,12,13,3250,59
blood_000255,0,2,3,750,35
blood_000256,0,16,8,2000,28
blood_000257,0,11,7,1750,37
blood_000258,0,4,3,750,28
blood_000259,0,12,12,3000,58
blood_000260,0,4,4,1000,41
blood_000261,1,11,14,3500,73
blood_000262,0,2,2,500,23
blood_000263,1,2,3,750,38
blood_000264,0,4,5,1250,58
blood_000265,1,4,4,1000,43
blood_000266,0,3,2,500,23
blood_000267,0,11,8,2000,46
blood_000268,0,4,7,1750,82
blood_000269,0,13,4,1000,21
blood_000270,0,16,11,2750,40
blood_000271,0,16,7,1750,28
blood_000272,0,7,2,500,16
blood_000273,0,4,5,1250,58
blood_000274,0,4,5,1250,58
blood_000275,0,4,4,1000,46
blood_000276,0,14,13,3250,57
blood_000277,0,4,3,750,34
blood_000278,0,14,18,4500,78
blood_000279,0,11,8,2000,48
blood_000280,0,14,16,4000,70
blood_000281,1,14,4,1000,22
blood_000282,0,14,5,1250,26
blood_000283,0,8,2,500,16
blood_000284,0,11,5,1250,33
blood_000285,0,11,2,500,14
blood_000286,0,4,2,500,23
blood_000287,1,9,2,500,16
blood_000288,1,14,5,1250,28
blood_000289,1,14,3,750,19
blood_000290,1,14,4,1000,23
blood_000291,0,16,12,3000,50
blood_000292,0,11,4,1000,28
blood_000293,0,11,5,1250,35
blood_000294,0,11,5,1250,35
blood_000295,0,2,4,1000,70
blood_000296,0,14,5,1250,28
blood_000297,0,14,2,500,14
blood_000298,0,14,2,500,14
blood_000299,0,14,2,500,14
blood_000300,0,14,2,500,14
blood_000301,0,14,2,500,14
blood_000302,0,14,2,500,14
blood_000303,0,2,3,750,52
blood_000304,0,14,6,1500,34
blood_000305,1,11,5,1250,37
blood_000306,0,4,5,1250,74
blood_000307,0,11,3,750,23
blood_000308,0,16,4,1000,23
blood_000309,0,16,3,750,19
blood_000310,0,11,5,1250,38
blood_000311,0,11,2,500,16
blood_000312,0,12,9,2250,60
blood_000313,0,9,1,250,9
blood_000314,0,9,1,250,9
blood_000315,0,4,2,500,29
blood_000316,0,11,2,500,17
blood_000317,0,14,4,1000,26
blood_000318,1,11,9,2250,72
blood_000319,0,11,5,1250,41
blood_000320,0,15,16,4000,82
blood_000321,1,9,5,1250,51
blood_000322,0,11,4,1000,34
blood_000323,1,14,8,2000,50
blood_000324,0,16,7,1750,38
blood_000325,0,14,2,500,16
blood_000326,0,2,2,500,41
blood_000327,0,14,16,4000,98
blood_000328,1,14,4,1000,28
blood_000329,0,16,7,1750,39
blood_000330,0,14,7,1750,47
blood_000331,0,16,6,1500,35
blood_000332,1,16,6,1500,35
blood_000333,1,11,7,1750,62
blood_000334,0,16,2,500,16
blood_000335,1,16,3,750,21
blood_000336,0,11,3,750,28
blood_000337,0,11,7,1750,64
blood_000338,1,11,1,250,11
blood_000339,0,9,3,750,34
blood_000340,0,14,4,1000,30
blood_000341,0,23,38,9500,98
blood_000342,0,11,6,1500,58
blood_000343,0,11,1,250,11
blood_000344,0,11,1,250,11
blood_000345,0,11,1,250,11
blood_000346,0,11,1,250,11
blood_000347,0,11,1,250,11
blood_000348,0,11,1,250,11
blood_000349,0,11,1,250,11
blood_000350,0,11,1,250,11
blood_000351,0,11,2,500,21
blood_000352,0,11,5,1250,50
blood_000353,0,11,2,500,21
blood_000354,0,16,4,1000,28
blood_000355,0,4,2,500,41
blood_000356,0,16,6,1500,40
blood_000357,0,14,3,750,26
blood_000358,0,9,2,500,26
blood_000359,0,21,16,4000,64
blood_000360,0,14,6,1500,51
blood_000361,0,11,2,500,24
blood_000362,0,4,3,750,71
blood_000363,0,21,13,3250,57
blood_000364,0,11,6,1500,71
blood_000365,1,14,2,500,21
blood_000366,0,23,15,3750,57
blood_000367,0,14,4,1000,38
blood_000368,0,11,2,500,26
blood_000369,1,16,5,1250,40
blood_000370,1,4,2,500,51
blood_000371,0,14,3,750,31
blood_000372,0,4,2,500,52
blood_000373,0,9,4,1000,65
blood_000374,0,14,4,1000,40
blood_000375,1,11,3,750,40
blood_000376,0,14,5,1250,50
blood_000377,0,14,1,250,14
blood_000378,0,14,1,250,14
blood_000379,0,14,1,250,14
blood_000380,0,14,1,250,14
blood_000381,0,14,1,250,14
blood_000382,0,14,1,250,14
blood_000383,0,14,1,250,14
blood_000384,0,14,1,250,14
blood_000385,0,14,7,1750,72
blood_000386,0,14,1,250,14
blood_000387,0,14,1,250,14
blood_000388,0,9,3,750,52
blood_000389,0,14,7,1750,73
blood_000390,0,11,4,1000,58
blood_000391,0,11,4,1000,59
blood_000392,0,4,2,500,59
blood_000393,0,11,4,1000,61
blood_000394,0,16,4,1000,40
blood_000395,0,16,10,2500,89
blood_000396,1,21,2,500,21
blood_000397,0,21,3,750,26
blood_000398,0,16,8,2000,76
blood_000399,1,21,3,750,26
blood_000400,0,18,2,500,23
blood_000401,0,23,5,1250,33
blood_000402,0,23,8,2000,46
blood_000403,0,16,3,750,34
blood_000404,0,14,5,1250,64
blood_000405,0,14,3,750,41
blood_000406,0,16,1,250,16
blood_000407,0,16,1,250,16
blood_000408,0,16,1,250,16
blood_000409,0,16,1,250,16
blood_000410,0,16,1,250,16
blood_000411,0,16,1,250,16
blood_000412,0,16,1,250,16
blood_000413,0,16,4,1000,45
blood_000414,0,16,1,250,16
blood_000415,0,16,1,250,16
blood_000416,0,16,1,250,16
blood_000417,0,16,1,250,16
blood_000418,0,16,1,250,16
blood_000419,0,16,2,500,26
blood_000420,0,21,2,500,23
blood_000421,0,16,2,500,27
blood_000422,0,21,2,500,23
blood_000423,0,21,2,500,23
blood_000424,0,14,4,1000,57
blood_000425,0,16,5,1250,60
blood_000426,0,23,2,500,23
blood_000427,0,14,5,1250,74
blood_000428,0,23,3,750,28
blood_000429,0,16,3,750,40
blood_000430,0,9,2,500,52
blood_000431,0,9,2,500,52
blood_000432,1,16,7,1750,87
blood_000433,0,14,4,1000,64
blood_000434,0,14,2,500,35
blood_000435,0,16,7,1750,93
blood_000436,0,21,2,500,25
blood_000437,0,14,3,750,52
blood_000438,0,23,14,3500,93
blood_000439,0,18,8,2000,95
blood_000440,0,16,3,750,46
blood_000441,0,11,3,750,76
blood_000442,0,11,2,500,52
blood_000443,0,11,3,750,76
blood_000444,0,23,12,3000,86
blood_000445,0,21,3,750,35
blood_000446,0,23,2,500,26
blood_000447,0,23,2,500,26
blood_000448,0,23,8,2000,64
blood_000449,0,16,3,750,50
blood_000450,0,23,3,750,33
blood_000451,0,21,3,750,38
blood_000452,0,23,2,500,28
blood_000453,0,21,1,250,21
blood_000454,0,21,1,250,21
blood_000455,0,21,1,250,21
blood_000456,0,21,1,250,21
blood_000457,0,21,1,250,21
blood_000458,0,21,1,250,21
blood_000459,0,21,1,250,21
blood_000460,0,21,1,250,21
blood_000461,0,21,1,250,21
blood_000462,1,21,1,250,21
blood_000463,0,21,1,250,21
blood_000464,0,21,1,250,21
blood_000465,0,21,5,1250,60
blood_000466,0,23,4,1000,45
blood_000467,0,21,4,1000,52
blood_000468,1,22,1,250,22
blood_000469,0,11,2,500,70
blood_000470,0,23,5,1250,58
blood_000471,0,23,3,750,40
blood_000472,0,23,3,750,41
blood_000473,0,14,3,750,83
blood_000474,0,21,2,500,35
blood_000475,1,26,5,1250,49
blood_000476,0,23,6,1500,70
blood_000477,0,23,1,250,23
blood_000478,0,23,1,250,23
blood_000479,0,23,1,250,23
blood_000480,0,23,1,250,23
blood_000481,0,23,1,250,23
blood_000482,0,23,1,250,23
blood_000483,0,23,1,250,23
blood_000484,0,23,1,250,23
blood_000485,0,23,4,1000,53
blood_000486,0,21,6,1500,86
blood_000487,0,23,3,750,48
blood_000488,0,21,2,500,41
blood_000489,0,21,3,750,64
blood_000490,0,16,2,500,70
blood_000491,0,21,3,750,70
blood_000492,0,23,4,1000,87
blood_000493,0,23,3,750,89
blood_000494,0,23,2,500,87
blood_000495,0,35,3,750,64
blood_000496,0,38,1,250,38
blood_000497,0,38,1,250,38
blood_000498,0,40,1,250,40
blood_000499,0,74,1,250,74
blood_000500,1,2,43,10750,86
blood_000501,1,6,22,5500,28
blood_000502,1,2,34,8500,77
blood_000503,0,2,44,11000,98
blood_000504,1,0,26,6500,76
blood_000505,1,2,41,10250,98
blood_000506,1,3,21,5250,42
blood_000507,0,2,11,2750,23
blood_000508,1,2,21,5250,52
blood_000509,1,2,13,3250,32
blood_000510,1,4,4,1000,4
blood_000511,0,2,11,2750,26
blood_000512,0,2,11,2750,28
blood_000513,0,3,14,3500,35
blood_000514,1,4,16,4000,38
blood_000515,0,4,6,1500,14
blood_000516,1,3,5,1250,12
blood_000517,1,4,33,8250,98
blood_000518,1,3,10,2500,33
blood_000519,1,4,10,2500,28
blood_000520,1,2,11,2750,40
blood_000521,1,2,11,2750,41
blood_000522,1,4,13,3250,39
blood_000523,1,1,10,2500,43
blood_000524,0,4,9,2250,28
blood_000525,0,2,4,1000,11
blood_000526,1,2,5,1250,16
blood_000527,0,2,15,3750,64
blood_000528,0,5,24,6000,79
blood_000529,1,2,6,1500,22
blood_000530,1,4,5,1250,16
blood_000531,1,2,4,1000,14
blood_000532,0,4,8,2000,28
blood_000533,0,2,4,1000,14
blood_000534,0,2,6,1500,26
blood_000535,1,4,5,1250,16
blood_000536,1,2,7,1750,32
blood_000537,1,2,6,1500,26
blood_000538,1,2,8,2000,38
blood_000539,1,2,2,500,4
blood_000540,1,2,6,1500,28
blood_000541,0,2,10,2500,52
blood_000542,1,4,16,4000,70
blood_000543,1,4,2,500,4
blood_000544,0,1,14,3500,95
blood_000545,1,4,2,500,4
blood_000546,0,7,14,3500,48
blood_000547,0,2,3,750,11
blood_000548,1,2,12,3000,70
blood_000549,1,4,7,1750,32
blood_000550,0,4,4,1000,16
blood_000551,1,2,6,1500,35
blood_000552,1,4,6,1500,28
blood_000553,0,2,3,750,14
blood_000554,0,2,4,1000,23
blood_000555,0,4,4,1000,18
blood_000556,0,5,6,1500,28
blood_000557,0,4,6,1500,30
blood_000558,0,14,5,1250,14
blood_000559,0,3,8,2000,50
blood_000560,1,4,11,2750,64
blood_000561,0,4,9,2250,52
blood_000562,1,4,16,4000,98
blood_000563,0,7,10,2500,47
blood_000564,0,4,14,3500,86
blood_000565,0,2,9,2250,75
blood_000566,0,4,6,1500,35
blood_000567,0,4,9,2250,55
blood_000568,1,4,6,1500,35
blood_000569,0,2,6,1500,45
blood_000570,0,2,6,1500,47
blood_000571,0,4,2,500,9
blood_000572,1,2,2,500,11
blood_000573,0,2,2,500,11
blood_000574,1,2,2,500,11
blood_000575,1,4,6,1500,38
blood_000576,1,3,4,1000,29
blood_000577,0,9,9,2250,38
blood_000578,0,11,5,1250,18
blood_000579,0,2,3,750,21
blood_000580,0,2,1,250,2
blood_000581,1,2,1,250,2
blood_000582,0,2,1,250,2
blood_000583,0,2,1,250,2
blood_000584,0,2,1,250,2
blood_000585,0,2,1,250,2
blood_000586,1,2,1,250,2
blood_000587,0,2,1,250,2
blood_000588,0,2,1,250,2
blood_000589,0,2,1,250,2
blood_000590,0,2,1,250,2
blood_000591,0,11,11,2750,38
blood_000592,0,2,3,750,22
blood_000593,1,9,11,2750,49
blood_000594,0,5,11,2750,75
blood_000595,0,3,5,1250,38
blood_000596,1,3,1,250,3
blood_000597,0,4,6,1500,43
blood_000598,0,2,3,750,24
blood_000599,0,12,11,2750,39
blood_000600,0,2,2,500,14
blood_000601,0,4,6,1500,46
blood_000602,0,9,3,750,14
blood_000603,0,14,8,2000,26
blood_000604,0,4,2,500,13
blood_000605,0,4,11,2750,95
blood_000606,0,2,7,1750,77
blood_000607,0,2,7,1750,77
blood_000608,0,4,1,250,4
blood_000609,0,4,1,250,4
blood_000610,0,4,1,250,4
blood_000611,0,4,1,250,4
blood_000612,1,4,1,250,4
blood_000613,0,4,1,250,4
blood_000614,0,4,1,250,4
blood_000615,0,4,1,250,4
blood_000616,0,4,1,250,4
blood_000617,0,4,1,250,4
blood_000618,1,4,1,250,4
blood_000619,0,4,1,250,4
blood_000620,0,4,7,1750,62
blood_000621,0,4,1,250,4
blood_000622,1,4,4,1000,34
blood_000623,0,11,6,1500,28
blood_000624,1,13,3,750,14
blood_000625,0,7,5,1250,35
blood_000626,0,9,9,2250,54
blood_000627,0,11,2,500,11
blood_000628,0,2,5,1250,63
blood_000629,0,7,11,2750,89
blood_000630,0,8,9,2250,64
blood_000631,0,2,2,500,22
blood_000632,0,6,3,750,26
blood_000633,0,12,15,3750,71
blood_000634,0,13,3,750,16
blood_000635,0,11,16,4000,89
blood_000636,0,4,5,1250,58
blood_000637,0,14,7,1750,35
blood_000638,0,11,4,1000,27
blood_000639,1,7,9,2250,89
blood_000640,1,11,8,2000,52
blood_000641,0,7,5,1250,52
blood_000642,0,11,6,1500,41
blood_000643,0,10,5,1250,38
blood_000644,1,14,2,500,14
blood_000645,0,14,2,500,14
blood_000646,0,14,2,500,14
blood_000647,0,2,2,500,33
blood_000648,0,11,3,750,23
blood_000649,0,14,8,2000,46
blood_000650,0,9,1,250,9
blood_000651,0,16,5,1250,27
blood_000652,0,14,4,1000,26
blood_000653,0,4,2,500,30
blood_000654,0,14,3,750,21
blood_000655,0,16,16,4000,77
blood_000656,0,4,2,500,31
blood_000657,0,14,8,2000,50
blood_000658,0,11,3,750,26
blood_000659,0,14,7,1750,45
blood_000660,0,15,5,1250,33
blood_000661,0,16,2,500,16
blood_000662,0,16,3,750,21
blood_000663,0,11,8,2000,72
blood_000664,0,11,1,250,11
blood_000665,0,11,1,250,11
blood_000666,0,11,1,250,11
blood_000667,1,11,1,250,11
blood_000668,0,11,1,250,11
blood_000669,1,2,3,750,75
blood_000670,0,2,3,750,77
blood_000671,0,16,4,1000,28
blood_000672,0,16,15,3750,87
blood_000673,0,16,14,3500,83
blood_000674,0,16,10,2500,62
blood_000675,0,16,3,750,23
blood_000676,0,14,3,750,26
blood_000677,0,23,19,4750,62
blood_000678,0,11,7,1750,75
blood_000679,0,14,3,750,28
blood_000680,1,20,14,3500,69
blood_000681,0,4,2,500,46
blood_000682,0,11,2,500,25
blood_000683,0,11,3,750,37
blood_000684,0,16,4,1000,33
blood_000685,0,21,7,1750,38
blood_000686,0,13,7,1750,76
blood_000687,0,16,6,1500,50
blood_000688,0,14,3,750,33
blood_000689,0,14,1,250,14
blood_000690,0,14,1,250,14
blood_000691,0,14,1,250,14
blood_000692,0,14,1,250,14
blood_000693,0,14,1,250,14
blood_000694,0,14,1,250,14
blood_000695,1,17,7,1750,58
blood_000696,0,14,3,750,35
blood_000697,0,14,3,750,35
blood_000698,0,16,7,1750,64
blood_000699,0,21,2,500,21
blood_000700,0,16,3,750,35
blood_000701,0,16,1,250,16
blood_000702,0,16,1,250,16
blood_000703,0,16,1,250,16
blood_000704,0,16,1,250,16
blood_000705,0,16,1,250,16
blood_000706,0,14,2,500,29
blood_000707,0,11,4,1000,74
blood_000708,1,11,2,500,38
blood_000709,0,21,6,1500,48
blood_000710,0,23,2,500,23
blood_000711,0,23,6,1500,45
blood_000712,1,14,2,500,35
blood_000713,0,16,6,1500,81
blood_000714,0,16,4,1000,58
blood_000715,0,16,5,1250,71
blood_000716,0,21,2,500,26
blood_000717,0,21,3,750,35
blood_000718,0,21,3,750,35
blood_000719,0,23,8,2000,69
blood_000720,0,21,3,750,38
blood_000721,0,23,3,750,35
blood_000722,0,21,3,750,40
blood_000723,0,23,2,500,28
blood_000724,0,21,1,250,21
blood_000725,0,21,1,250,21
blood_000726,0,25,6,1500,50
blood_000727,0,21,1,250,21
blood_000728,0,21,1,250,21
blood_000729,0,23,3,750,39
blood_000730,0,21,2,500,33
blood_000731,0,14,3,750,79
blood_000732,1,23,1,250,23
blood_000733,0,23,1,250,23
blood_000734,0,23,1,250,23
blood_000735,0,23,1,250,23
blood_000736,0,23,1,250,23
blood_000737,0,23,1,250,23
blood_000738,0,23,1,250,23
blood_000739,0,23,4,1000,52
blood_000740,0,23,1,250,23
blood_000741,0,23,7,1750,88
blood_000742,0,16,3,750,86
blood_000743,0,23,2,500,38
blood_000744,0,21,2,500,52
blood_000745,0,23,3,750,62
blood_000746,0,39,1,250,39
blood_000747,0,72,1,250,72
