__sample_id__,__target__,Cement (component 1)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture),Water  (component 4)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),Coarse Aggregate  (component 6)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture),Age (day)
concrete_compressive_strength_000020,41.836714203999996,427.5,47.5,0.0,228.0,0.0,932.0,594.0,180
concrete_compressive_strength_000021,28.23748958,139.6,209.4,0.0,192.0,0.0,1047.0,806.9,28
concrete_compressive_strength_000022,8.06342182,139.6,209.4,0.0,192.0,0.0,1047.0,806.9,3
concrete_compressive_strength_000023,44.207822168,139.6,209.4,0.0,192.0,0.0,1047.0,806.9,180
concrete_compressive_strength_000024,52.516697443999995,380.0,0.0,0.0,228.0,0.0,932.0,670.0,365
concrete_compressive_strength_000025,53.300631656,380.0,0.0,0.0,228.0,0.0,932.0,670.0,270
concrete_compressive_strength_000026,41.15137506,380.0,95.0,0.0,228.0,0.0,932.0,594.0,270
concrete_compressive_strength_000027,52.1243856,342.0,38.0,0.0,228.0,0.0,932.0,670.0,180
concrete_compressive_strength_000028,37.427515183999994,427.5,47.5,0.0,228.0,0.0,932.0,594.0,28
concrete_compressive_strength_000029,38.60376124,475.0,0.0,0.0,228.0,0.0,932.0,594.0,7
concrete_compressive_strength_000030,55.260122448,304.0,76.0,0.0,228.0,0.0,932.0,670.0,365
concrete_compressive_strength_000031,52.908319811999995,266.0,114.0,0.0,228.0,0.0,932.0,670.0,365
concrete_compressive_strength_000032,41.719503284,198.6,132.4,0.0,192.0,0.0,978.4,825.5,180
concrete_compressive_strength_000033,42.131120456,475.0,0.0,0.0,228.0,0.0,932.0,594.0,270
concrete_compressive_strength_000034,53.69225402399999,190.0,190.0,0.0,228.0,0.0,932.0,670.0,365
concrete_compressive_strength_000035,38.407950056000004,237.5,237.5,0.0,228.0,0.0,932.0,594.0,270
concrete_compressive_strength_000036,30.079769451999997,237.5,237.5,0.0,228.0,0.0,932.0,594.0,28
concrete_compressive_strength_000037,37.721921436,332.5,142.5,0.0,228.0,0.0,932.0,594.0,90
concrete_compressive_strength_000038,42.229026048,475.0,0.0,0.0,228.0,0.0,932.0,594.0,90
concrete_compressive_strength_000039,36.251958603999995,237.5,237.5,0.0,228.0,0.0,932.0,594.0,180
concrete_compressive_strength_000040,50.45930106,342.0,38.0,0.0,228.0,0.0,932.0,670.0,90
concrete_compressive_strength_000041,43.698299404,427.5,47.5,0.0,228.0,0.0,932.0,594.0,365
concrete_compressive_strength_000042,38.995383608,237.5,237.5,0.0,228.0,0.0,932.0,594.0,365
concrete_compressive_strength_000043,53.104130996,380.0,0.0,0.0,228.0,0.0,932.0,670.0,180
concrete_compressive_strength_000044,41.542997428,427.5,47.5,0.0,228.0,0.0,932.0,594.0,90
concrete_compressive_strength_000045,35.076402024,427.5,47.5,0.0,228.0,0.0,932.0,594.0,7
concrete_compressive_strength_000046,15.049192651999999,349.0,0.0,0.0,192.0,0.0,1047.0,806.9,3
concrete_compressive_strength_000047,40.759063216,380.0,95.0,0.0,228.0,0.0,932.0,594.0,180
concrete_compressive_strength_000048,26.258003984,237.5,237.5,0.0,228.0,0.0,932.0,594.0,7
concrete_compressive_strength_000049,32.823194456,380.0,95.0,0.0,228.0,0.0,932.0,594.0,7
concrete_compressive_strength_000050,39.779317819999996,332.5,142.5,0.0,228.0,0.0,932.0,594.0,180
concrete_compressive_strength_000051,46.931941843999994,190.0,190.0,0.0,228.0,0.0,932.0,670.0,180
concrete_compressive_strength_000052,33.116911232,237.5,237.5,0.0,228.0,0.0,932.0,594.0,90
concrete_compressive_strength_000053,49.185149411999994,304.0,76.0,0.0,228.0,0.0,932.0,670.0,90
concrete_compressive_strength_000054,14.589312159999999,139.6,209.4,0.0,192.0,0.0,1047.0,806.9,7
concrete_compressive_strength_000055,14.638264955999999,198.6,132.4,0.0,192.0,0.0,978.4,825.5,7
concrete_compressive_strength_000056,41.934619796,475.0,0.0,0.0,228.0,0.0,932.0,594.0,365
concrete_compressive_strength_000057,9.131420144,198.6,132.4,0.0,192.0,0.0,978.4,825.5,3
concrete_compressive_strength_000058,50.94882902,304.0,76.0,0.0,228.0,0.0,932.0,670.0,180
concrete_compressive_strength_000059,33.019005639999996,332.5,142.5,0.0,228.0,0.0,932.0,594.0,28
concrete_compressive_strength_000060,54.378282643999995,304.0,76.0,0.0,228.0,0.0,932.0,670.0,270
concrete_compressive_strength_000061,51.732763231999996,266.0,114.0,0.0,228.0,0.0,932.0,670.0,270
concrete_compressive_strength_000062,9.86640156,310.0,0.0,0.0,192.0,0.0,971.0,850.6,3
concrete_compressive_strength_000063,50.655112243999994,190.0,190.0,0.0,228.0,0.0,932.0,670.0,270
concrete_compressive_strength_000064,48.695621452,266.0,114.0,0.0,228.0,0.0,932.0,670.0,180
concrete_compressive_strength_000065,55.064311264,342.0,38.0,0.0,228.0,0.0,932.0,670.0,270
concrete_compressive_strength_000066,44.698039603999995,139.6,209.4,0.0,192.0,0.0,1047.0,806.9,360
concrete_compressive_strength_000067,30.275580636,332.5,142.5,0.0,228.0,0.0,932.0,594.0,7
concrete_compressive_strength_000068,40.856968808,190.0,190.0,0.0,228.0,0.0,932.0,670.0,28
concrete_compressive_strength_000069,71.98818916,485.0,0.0,0.0,146.0,0.0,1120.0,800.0,28
concrete_compressive_strength_000070,34.39795764,374.0,189.2,0.0,170.1,10.1,926.1,756.7,3
concrete_compressive_strength_000071,28.79941252,313.3,262.2,0.0,175.5,8.6,1046.9,611.8,3
concrete_compressive_strength_000072,33.398217439999996,425.0,106.3,0.0,153.5,16.5,852.1,887.1,3
concrete_compressive_strength_000073,36.3009114,425.0,106.3,0.0,151.4,18.6,936.0,803.7,3
concrete_compressive_strength_000074,28.99936056,375.0,93.8,0.0,126.6,23.4,852.1,992.6,3
concrete_compressive_strength_000075,37.79707432,475.0,118.8,0.0,181.1,8.9,852.1,781.5,3
concrete_compressive_strength_000076,40.1964508,469.0,117.2,0.0,137.8,32.2,852.1,840.5,3
concrete_compressive_strength_000077,33.398217439999996,425.0,106.3,0.0,153.5,16.5,852.1,887.1,3
concrete_compressive_strength_000078,28.096147,388.6,97.1,0.0,157.9,12.1,852.1,925.7,3
concrete_compressive_strength_000079,41.2996124,531.3,0.0,0.0,141.8,28.2,852.1,893.7,3
concrete_compressive_strength_000080,33.398217439999996,425.0,106.3,0.0,153.5,16.5,852.1,887.1,3
concrete_compressive_strength_000081,25.2003478,318.8,212.5,0.0,155.7,14.3,852.1,880.4,3
concrete_compressive_strength_000082,41.09966436,401.8,94.7,0.0,147.4,11.4,946.8,852.1,3
concrete_compressive_strength_000083,35.3011712,362.6,189.0,0.0,164.9,11.6,944.7,755.8,3
concrete_compressive_strength_000084,28.296095039999997,323.7,282.8,0.0,183.8,10.3,942.7,659.9,3
concrete_compressive_strength_000085,28.599464479999998,379.5,151.2,0.0,153.9,15.9,1134.3,605.0,3
concrete_compressive_strength_000086,35.3011712,362.6,189.0,0.0,164.9,11.6,944.7,755.8,3
concrete_compressive_strength_000087,24.40055564,286.3,200.9,0.0,144.7,11.2,1004.6,803.7,3
concrete_compressive_strength_000088,35.3011712,362.6,189.0,0.0,164.9,11.6,944.7,755.8,3
concrete_compressive_strength_000089,39.300132,439.0,177.0,0.0,186.0,11.1,884.9,707.9,3
concrete_compressive_strength_000090,40.59634688,389.9,189.0,0.0,145.9,22.0,944.7,755.8,3
concrete_compressive_strength_000091,35.3011712,362.6,189.0,0.0,164.9,11.6,944.7,755.8,3
concrete_compressive_strength_000092,24.0971862,337.9,189.0,0.0,174.9,9.5,944.7,755.8,3
concrete_compressive_strength_000093,46.20178676,374.0,189.2,0.0,170.1,10.1,926.1,756.7,7
concrete_compressive_strength_000094,42.79577532,313.3,262.2,0.0,175.5,8.6,1046.9,611.8,7
concrete_compressive_strength_000095,49.20100736,425.0,106.3,0.0,153.5,16.5,852.1,887.1,7
concrete_compressive_strength_000096,46.80163088,425.0,106.3,0.0,151.4,18.6,936.0,803.7,7
concrete_compressive_strength_000097,45.69846928,375.0,93.8,0.0,126.6,23.4,852.1,992.6,7
concrete_compressive_strength_000098,55.59934464,475.0,118.8,0.0,181.1,8.9,852.1,781.5,7
concrete_compressive_strength_000099,54.896079119999996,469.0,117.2,0.0,137.8,32.2,852.1,840.5,7
concrete_compressive_strength_000100,49.20100736,425.0,106.3,0.0,153.5,16.5,852.1,887.1,7
concrete_compressive_strength_000101,34.90127512,388.6,97.1,0.0,157.9,12.1,852.1,925.7,7
concrete_compressive_strength_000102,46.89815752,531.3,0.0,0.0,141.8,28.2,852.1,893.7,7
concrete_compressive_strength_000103,49.20100736,425.0,106.3,0.0,153.5,16.5,852.1,887.1,7
concrete_compressive_strength_000104,33.398217439999996,318.8,212.5,0.0,155.7,14.3,852.1,880.4,7
concrete_compressive_strength_000105,54.09628696,401.8,94.7,0.0,147.4,11.4,946.8,852.1,7
concrete_compressive_strength_000106,55.89581932,362.6,189.0,0.0,164.9,11.6,944.7,755.8,7
concrete_compressive_strength_000107,49.80085148,323.7,282.8,0.0,183.8,10.3,942.7,659.9,7
concrete_compressive_strength_000108,47.09810556,379.5,151.2,0.0,153.9,15.9,1134.3,605.0,7
concrete_compressive_strength_000109,55.89581932,362.6,189.0,0.0,164.9,11.6,944.7,755.8,7
concrete_compressive_strength_000110,37.997022359999995,286.3,200.9,0.0,144.7,11.2,1004.6,803.7,7
concrete_compressive_strength_000111,55.89581932,362.6,189.0,0.0,164.9,11.6,944.7,755.8,7
concrete_compressive_strength_000112,56.095767359999996,439.0,177.0,0.0,186.0,11.1,884.9,707.9,7
concrete_compressive_strength_000113,59.09498796,389.9,189.0,0.0,145.9,22.0,944.7,755.8,7
concrete_compressive_strength_000114,22.89749796,362.6,189.0,0.0,164.9,11.6,944.7,755.8,7
concrete_compressive_strength_000115,35.101223159999996,337.9,189.0,0.0,174.9,9.5,944.7,755.8,7
concrete_compressive_strength_000116,61.09446836,374.0,189.2,0.0,170.1,10.1,926.1,756.7,28
concrete_compressive_strength_000117,59.79825348,313.3,262.2,0.0,175.5,8.6,1046.9,611.8,28
concrete_compressive_strength_000118,60.2946762,425.0,106.3,0.0,153.5,16.5,852.1,887.1,28
concrete_compressive_strength_000119,61.797733879999996,425.0,106.3,0.0,151.4,18.6,936.0,803.7,28
concrete_compressive_strength_000120,56.69561148,375.0,93.8,0.0,126.6,23.4,852.1,992.6,28
concrete_compressive_strength_000121,68.29949256,475.0,118.8,0.0,181.1,8.9,852.1,781.5,28
concrete_compressive_strength_000122,66.89985628,469.0,117.2,0.0,137.8,32.2,852.1,840.5,28
concrete_compressive_strength_000123,60.2946762,425.0,106.3,0.0,153.5,16.5,852.1,887.1,28
concrete_compressive_strength_000124,50.69717028,388.6,97.1,0.0,157.9,12.1,852.1,925.7,28
concrete_compressive_strength_000125,56.3991368,531.3,0.0,0.0,141.8,28.2,852.1,893.7,28
concrete_compressive_strength_000126,60.2946762,425.0,106.3,0.0,153.5,16.5,852.1,887.1,28
concrete_compressive_strength_000127,55.495923239999996,318.8,212.5,0.0,155.7,14.3,852.1,880.4,28
concrete_compressive_strength_000128,68.4994406,401.8,94.7,0.0,147.4,11.4,946.8,852.1,28
concrete_compressive_strength_000129,71.29871315999999,362.6,189.0,0.0,164.9,11.6,944.7,755.8,28
concrete_compressive_strength_000130,74.69782984,323.7,282.8,0.0,183.8,10.3,942.7,659.9,28
concrete_compressive_strength_000131,52.20022796,379.5,151.2,0.0,153.9,15.9,1134.3,605.0,28
concrete_compressive_strength_000132,71.29871315999999,362.6,189.0,0.0,164.9,11.6,944.7,755.8,28
concrete_compressive_strength_000133,67.69964844,286.3,200.9,0.0,144.7,11.2,1004.6,803.7,28
concrete_compressive_strength_000134,71.29871315999999,362.6,189.0,0.0,164.9,11.6,944.7,755.8,28
concrete_compressive_strength_000135,65.99664272,439.0,177.0,0.0,186.0,11.1,884.9,707.9,28
concrete_compressive_strength_000136,74.4978818,389.9,189.0,0.0,145.9,22.0,944.7,755.8,28
concrete_compressive_strength_000137,71.29871315999999,362.6,189.0,0.0,164.9,11.6,944.7,755.8,28
concrete_compressive_strength_000138,49.89737812,337.9,189.0,0.0,174.9,9.5,944.7,755.8,28
concrete_compressive_strength_000139,63.3973182,374.0,189.2,0.0,170.1,10.1,926.1,756.7,56
concrete_compressive_strength_000140,64.90037588,313.3,262.2,0.0,175.5,8.6,1046.9,611.8,56
concrete_compressive_strength_000141,64.30053176,425.0,106.3,0.0,153.5,16.5,852.1,887.1,56
concrete_compressive_strength_000142,64.90037588,425.0,106.3,0.0,151.4,18.6,936.0,803.7,56
concrete_compressive_strength_000143,60.19814956,375.0,93.8,0.0,126.6,23.4,852.1,992.6,56
concrete_compressive_strength_000144,72.29845336,475.0,118.8,0.0,181.1,8.9,852.1,781.5,56
concrete_compressive_strength_000145,69.29923276,469.0,117.2,0.0,137.8,32.2,852.1,840.5,56
concrete_compressive_strength_000146,64.30053176,425.0,106.3,0.0,153.5,16.5,852.1,887.1,56
concrete_compressive_strength_000147,55.19944856,388.6,97.1,0.0,157.9,12.1,852.1,925.7,56
concrete_compressive_strength_000148,58.798513279999995,531.3,0.0,0.0,141.8,28.2,852.1,893.7,56
concrete_compressive_strength_000149,64.30053176,425.0,106.3,0.0,153.5,16.5,852.1,887.1,56
concrete_compressive_strength_000150,66.10006412,318.8,212.5,0.0,155.7,14.3,852.1,880.4,56
concrete_compressive_strength_000151,73.69808963999999,401.8,94.7,0.0,147.4,11.4,946.8,852.1,56
concrete_compressive_strength_000152,77.29715436,362.6,189.0,0.0,164.9,11.6,944.7,755.8,56
concrete_compressive_strength_000153,80.19984832,323.7,282.8,0.0,183.8,10.3,942.7,659.9,56
concrete_compressive_strength_000154,54.896079119999996,379.5,151.2,0.0,153.9,15.9,1134.3,605.0,56
concrete_compressive_strength_000155,77.29715436,362.6,189.0,0.0,164.9,11.6,944.7,755.8,56
concrete_compressive_strength_000156,72.99482412,286.3,200.9,0.0,144.7,11.2,1004.6,803.7,56
concrete_compressive_strength_000157,77.29715436,362.6,189.0,0.0,164.9,11.6,944.7,755.8,56
concrete_compressive_strength_000158,71.69860924,439.0,177.0,0.0,186.0,11.1,884.9,707.9,56
concrete_compressive_strength_000159,79.40005615999999,389.9,189.0,0.0,145.9,22.0,944.7,755.8,56
concrete_compressive_strength_000160,77.29715436,362.6,189.0,0.0,164.9,11.6,944.7,755.8,56
concrete_compressive_strength_000161,59.89478012,337.9,189.0,0.0,174.9,9.5,944.7,755.8,56
concrete_compressive_strength_000162,64.90037588,374.0,189.2,0.0,170.1,10.1,926.1,756.7,91
concrete_compressive_strength_000163,66.59648684,313.3,262.2,0.0,175.5,8.6,1046.9,611.8,91
concrete_compressive_strength_000164,65.19685056,425.0,106.3,0.0,153.5,16.5,852.1,887.1,91
concrete_compressive_strength_000165,66.69990824,425.0,106.3,0.0,151.4,18.6,936.0,803.7,91
concrete_compressive_strength_000166,62.5009994,375.0,93.8,0.0,126.6,23.4,852.1,992.6,91
concrete_compressive_strength_000167,74.19451236,475.0,118.8,0.0,181.1,8.9,852.1,781.5,91
concrete_compressive_strength_000168,70.69886903999999,469.0,117.2,0.0,137.8,32.2,852.1,840.5,91
concrete_compressive_strength_000169,65.19685056,425.0,106.3,0.0,153.5,16.5,852.1,887.1,91
concrete_compressive_strength_000170,57.59882504,388.6,97.1,0.0,157.9,12.1,852.1,925.7,91
concrete_compressive_strength_000171,59.19840936,531.3,0.0,0.0,141.8,28.2,852.1,893.7,91
concrete_compressive_strength_000172,65.19685056,425.0,106.3,0.0,153.5,16.5,852.1,887.1,91
concrete_compressive_strength_000173,68.09954452,318.8,212.5,0.0,155.7,14.3,852.1,880.4,91
concrete_compressive_strength_000174,75.49762199999999,401.8,94.7,0.0,147.4,11.4,946.8,852.1,91
concrete_compressive_strength_000175,79.29663476,362.6,189.0,0.0,164.9,11.6,944.7,755.8,91
concrete_compressive_strength_000176,56.49566344,379.5,151.2,0.0,153.9,15.9,1134.3,605.0,91
concrete_compressive_strength_000177,79.29663476,362.6,189.0,0.0,164.9,11.6,944.7,755.8,91
concrete_compressive_strength_000178,76.80073164,286.3,200.9,0.0,144.7,11.2,1004.6,803.7,91
concrete_compressive_strength_000179,79.29663476,362.6,189.0,0.0,164.9,11.6,944.7,755.8,91
concrete_compressive_strength_000180,73.29819356,439.0,177.0,0.0,186.0,11.1,884.9,707.9,91
concrete_compressive_strength_000181,82.5992248,389.9,189.0,0.0,145.9,22.0,944.7,755.8,91
concrete_compressive_strength_000182,79.29663476,362.6,189.0,0.0,164.9,11.6,944.7,755.8,91
concrete_compressive_strength_000183,67.79617508,337.9,189.0,0.0,174.9,9.5,944.7,755.8,91
concrete_compressive_strength_000184,11.57630204,222.36,0.0,96.67,189.29,4.46,967.08,870.32,3
concrete_compressive_strength_000185,24.44881896,222.36,0.0,96.67,189.29,4.46,967.08,870.32,14
concrete_compressive_strength_000186,24.8900836,222.36,0.0,96.67,189.29,4.46,967.08,870.32,28
concrete_compressive_strength_000187,29.447519959999997,222.36,0.0,96.67,189.29,4.46,967.08,870.32,56
concrete_compressive_strength_000188,40.7135578,222.36,0.0,96.67,189.29,4.46,967.08,870.32,100
concrete_compressive_strength_000189,10.38350856,233.81,0.0,94.58,197.89,4.567,947.04,852.16,3
concrete_compressive_strength_000190,22.13907436,233.81,0.0,94.58,197.89,4.567,947.04,852.16,14
concrete_compressive_strength_000191,22.83544512,233.81,0.0,94.58,197.89,4.567,947.04,852.16,28
concrete_compressive_strength_000192,27.66177712,233.81,0.0,94.58,197.89,4.567,947.04,852.16,56
concrete_compressive_strength_000193,34.55653712,233.81,0.0,94.58,197.89,4.567,947.04,852.16,100
concrete_compressive_strength_000194,12.45193656,194.68,0.0,100.52,165.62,7.48,1006.4,905.9,3
concrete_compressive_strength_000195,24.986610239999997,194.68,0.0,100.52,165.62,7.48,1006.4,905.9,14
concrete_compressive_strength_000196,25.72434956,194.68,0.0,100.52,165.62,7.48,1006.4,905.9,28
concrete_compressive_strength_000197,33.963587759999996,194.68,0.0,100.52,165.62,7.48,1006.4,905.9,56
concrete_compressive_strength_000198,37.34202016,194.68,0.0,100.52,165.62,7.48,1006.4,905.9,100
concrete_compressive_strength_000199,15.04436632,190.68,0.0,125.4,162.14,7.77,1090.0,804.01,3
concrete_compressive_strength_000200,21.063491799999998,190.68,0.0,125.4,162.14,7.77,1090.0,804.01,14
concrete_compressive_strength_000201,26.40003604,190.68,0.0,125.4,162.14,7.77,1090.0,804.01,28
concrete_compressive_strength_000202,35.34253976,190.68,0.0,125.4,162.14,7.77,1090.0,804.01,56
concrete_compressive_strength_000203,40.56876784,190.68,0.0,125.4,162.14,7.77,1090.0,804.01,100
concrete_compressive_strength_000204,12.47262084,212.07,0.0,121.62,180.31,5.69,1057.6,779.32,3
concrete_compressive_strength_000205,20.91870184,212.07,0.0,121.62,180.31,5.69,1057.6,779.32,14
concrete_compressive_strength_000206,24.90387312,212.07,0.0,121.62,180.31,5.69,1057.6,779.32,28
concrete_compressive_strength_000207,34.20490436,212.07,0.0,121.62,180.31,5.69,1057.6,779.32,56
concrete_compressive_strength_000208,39.6103962,212.07,0.0,121.62,180.31,5.69,1057.6,779.32,100
concrete_compressive_strength_000209,10.0318758,229.97,0.0,118.31,195.47,4.63,1029.4,758.59,3
concrete_compressive_strength_000210,20.08443588,229.97,0.0,118.31,195.47,4.63,1029.4,758.59,14
concrete_compressive_strength_000211,24.483292759999998,229.97,0.0,118.31,195.47,4.63,1029.4,758.59,28
concrete_compressive_strength_000212,31.53663224,229.97,0.0,118.31,195.47,4.63,1029.4,758.59,56
concrete_compressive_strength_000213,35.34253976,229.97,0.0,118.31,195.47,4.63,1029.4,758.59,100
concrete_compressive_strength_000214,9.4458212,190.34,0.0,125.18,161.85,9.88,1088.1,802.59,3
concrete_compressive_strength_000215,22.718234199999998,190.34,0.0,125.18,161.85,9.88,1088.1,802.59,14
concrete_compressive_strength_000216,28.46846404,190.34,0.0,125.18,161.85,9.88,1088.1,802.59,28
concrete_compressive_strength_000217,38.56239268,190.34,0.0,125.18,161.85,9.88,1088.1,802.59,56
concrete_compressive_strength_000218,40.38950408,190.34,0.0,125.18,161.85,9.88,1088.1,802.59,100
concrete_compressive_strength_000219,10.76272036,166.09,0.0,163.27,176.46,4.49,1058.6,780.09,3
concrete_compressive_strength_000220,25.48303296,166.09,0.0,163.27,176.46,4.49,1058.6,780.09,14
concrete_compressive_strength_000221,21.53923024,166.09,0.0,163.27,176.46,4.49,1058.6,780.09,28
concrete_compressive_strength_000222,28.62704352,166.09,0.0,163.27,176.46,4.49,1058.6,780.09,56
concrete_compressive_strength_000223,33.5430074,166.09,0.0,163.27,176.46,4.49,1058.6,780.09,100
concrete_compressive_strength_000224,7.74971024,167.95,42.08,163.83,121.75,5.72,1058.7,780.11,3
concrete_compressive_strength_000225,17.8229546,167.95,42.08,163.83,121.75,5.72,1058.7,780.11,14
concrete_compressive_strength_000226,24.24197616,167.95,42.08,163.83,121.75,5.72,1058.7,780.11,28
concrete_compressive_strength_000227,32.8535314,167.95,42.08,163.83,121.75,5.72,1058.7,780.11,56
concrete_compressive_strength_000228,39.2311844,167.95,42.08,163.83,121.75,5.72,1058.7,780.11,100
concrete_compressive_strength_000229,17.9953236,213.72,98.05,24.51,181.71,6.86,1065.8,785.38,3
concrete_compressive_strength_000230,30.38520732,213.72,98.05,24.51,181.71,6.86,1065.8,785.38,14
concrete_compressive_strength_000231,45.70536404,213.72,98.05,24.51,181.71,6.86,1065.8,785.38,28
concrete_compressive_strength_000232,50.77301264,213.72,98.05,24.51,181.71,6.86,1065.8,785.38,56
concrete_compressive_strength_000233,53.90323368,213.72,98.05,24.51,181.71,6.86,1065.8,785.38,100
concrete_compressive_strength_000234,13.18278112,213.76,98.06,24.52,181.74,6.65,1066.0,785.52,3
concrete_compressive_strength_000235,17.83674412,213.76,98.06,24.52,181.74,6.65,1066.0,785.52,14
concrete_compressive_strength_000236,40.2309246,213.76,98.06,24.52,181.74,6.65,1066.0,785.52,28
concrete_compressive_strength_000237,47.13257936,213.76,98.06,24.52,181.74,6.65,1066.0,785.52,56
concrete_compressive_strength_000238,49.973220479999995,213.76,98.06,24.52,181.74,6.65,1066.0,785.52,100
concrete_compressive_strength_000239,13.35515012,229.68,0.0,118.16,195.23,6.13,1028.1,757.63,3
concrete_compressive_strength_000240,22.31833812,229.68,0.0,118.16,195.23,6.13,1028.1,757.63,14
concrete_compressive_strength_000241,24.53845084,229.68,0.0,118.16,195.23,6.13,1028.1,757.63,28
concrete_compressive_strength_000242,31.35047372,229.68,0.0,118.16,195.23,6.13,1028.1,757.63,56
concrete_compressive_strength_000243,40.85834776,229.68,0.0,118.16,195.23,6.13,1028.1,757.63,100
concrete_compressive_strength_000244,19.93275116,238.05,0.0,94.11,186.66,7.0,949.91,847.01,3
concrete_compressive_strength_000245,25.68987576,238.05,0.0,94.11,186.66,7.0,949.91,847.01,14
concrete_compressive_strength_000246,30.2335226,238.05,0.0,94.11,186.66,7.0,949.91,847.01,28
concrete_compressive_strength_000247,39.58971192,238.05,0.0,94.11,186.66,7.0,949.91,847.01,56
concrete_compressive_strength_000248,44.298833,238.05,0.0,94.11,186.66,7.0,949.91,847.01,100
concrete_compressive_strength_000249,13.817099039999999,250.0,0.0,95.69,187.42,5.53,956.86,861.17,3
concrete_compressive_strength_000250,24.91766264,250.0,0.0,95.69,187.42,5.53,956.86,861.17,14
concrete_compressive_strength_000251,29.21999288,250.0,0.0,95.69,187.42,5.53,956.86,861.17,28
concrete_compressive_strength_000252,38.32797084,250.0,0.0,95.69,187.42,5.53,956.86,861.17,56
concrete_compressive_strength_000253,42.347615919999996,250.0,0.0,95.69,187.42,5.53,956.86,861.17,100
concrete_compressive_strength_000254,13.54130864,212.52,0.0,100.37,159.32,8.71,1007.8,903.59,3
concrete_compressive_strength_000255,26.310404159999997,212.52,0.0,100.37,159.32,8.71,1007.8,903.59,14
concrete_compressive_strength_000256,31.640053639999998,212.52,0.0,100.37,159.32,8.71,1007.8,903.59,28
concrete_compressive_strength_000257,42.54756396,212.52,0.0,100.37,159.32,8.71,1007.8,903.59,56
concrete_compressive_strength_000258,42.919881,212.52,0.0,100.37,159.32,8.71,1007.8,903.59,100
concrete_compressive_strength_000259,13.33446584,212.57,0.0,100.39,159.35,10.37,1003.8,903.79,3
concrete_compressive_strength_000260,25.3727168,212.57,0.0,100.39,159.35,10.37,1003.8,903.79,14
concrete_compressive_strength_000261,37.404073,212.57,0.0,100.39,159.35,10.37,1003.8,903.79,28
concrete_compressive_strength_000262,44.395359639999995,212.57,0.0,100.39,159.35,10.37,1003.8,903.79,56
concrete_compressive_strength_000263,47.739318239999996,212.57,0.0,100.39,159.35,10.37,1003.8,903.79,100
concrete_compressive_strength_000264,19.519065559999998,212.0,0.0,124.78,159.0,7.84,1085.4,799.54,3
concrete_compressive_strength_000265,31.35047372,212.0,0.0,124.78,159.0,7.84,1085.4,799.54,14
concrete_compressive_strength_000266,38.500339839999995,212.0,0.0,124.78,159.0,7.84,1085.4,799.54,28
concrete_compressive_strength_000267,45.08483564,212.0,0.0,124.78,159.0,7.84,1085.4,799.54,56
